frame,t,norm,peak_density,Fz,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
32,7.400000e-01,9.997778e-01,9.136117e-03,5.959536e+00,9.625499e-01,3.581951e-02,1.573135e-03,5.590803e-05,1.531294e-06,3.198349e-08,5.063606e-10,6.015941e-12,5.268003e-14,3.296185e-16,1.396022e-18,3.576562e-21,4.327654e-24
33,7.600000e-01,9.997716e-01,9.032163e-03,5.957482e+00,9.607086e-01,3.749390e-02,1.730909e-03,6.465572e-05,1.861368e-06,4.085906e-08,6.796254e-10,8.478933e-12,7.791685e-14,5.112479e-16,2.268818e-18,6.096932e-21,7.524178e-24
34,7.800000e-01,9.997655e-01,8.932644e-03,5.955402e+00,9.588523e-01,3.917365e-02,1.897392e-03,7.434672e-05,2.245259e-06,5.169437e-08,9.015642e-10,1.178725e-11,1.134376e-13,7.789052e-16,3.614275e-18,1.016112e-20,1.301418e-23
35,8.000000e-01,9.997595e-01,8.838236e-03,5.953298e+00,9.569817e-01,4.085785e-02,2.072617e-03,8.503440e-05,2.688866e-06,6.481139e-08,1.182918e-09,1.617651e-11,1.627211e-13,1.166935e-15,5.650492e-18,1.657997e-20,2.216423e-23
36,8.200000e-01,9.997535e-01,8.749607e-03,5.951170e+00,9.550976e-01,4.254573e-02,2.256604e-03,9.677165e-05,3.198388e-06,8.056595e-08,1.536142e-09,2.193283e-11,2.301856e-13,1.720894e-15,8.679259e-18,2.652224e-20,3.701469e-23
37,8.400000e-01,9.997475e-01,8.667361e-03,5.949018e+00,9.532005e-01,4.423665e-02,2.449367e-03,1.096107e-04,3.780306e-06,9.934889e-08,1.975562e-09,2.940029e-11,3.213779e-13,2.500405e-15,1.311173e-17,4.164340e-20,6.056843e-23
38,8.600000e-01,9.997416e-01,8.591929e-03,5.946842e+00,9.512909e-01,4.593007e-02,2.650910e-03,1.236031e-04,4.441375e-06,1.215871e-07,2.517536e-09,3.898887e-11,4.431850e-13,3.582504e-15,1.949996e-17,6.424992e-20,9.716483e-23
39,8.800000e-01,9.997358e-01,8.523640e-03,5.944643e+00,9.493691e-01,4.762557e-02,2.861228e-03,1.387994e-04,5.188605e-06,1.477442e-07,3.180611e-09,5.118293e-11,6.040716e-13,5.065552e-15,2.857520e-17,9.750618e-20,1.529650e-22
40,9.000000e-01,9.997299e-01,8.462767e-03,5.942421e+00,9.474354e-01,4.932282e-02,3.080311e-03,1.552496e-04,6.029250e-06,1.783217e-07,3.985681e-09,6.655008e-11,8.143417e-13,7.073739e-15,4.129361e-17,1.456909e-19,2.365604e-22
41,9.200000e-01,9.997242e-01,8.409508e-03,5.940175e+00,9.454901e-01,5.102158e-02,3.308145e-03,1.730024e-04,6.970792e-06,2.138590e-07,4.956142e-09,8.575048e-11,1.086425e-12,9.762226e-15,5.889060e-17,2.145119e-19,3.597712e-22
42,9.400000e-01,9.997184e-01,8.364019e-03,5.937907e+00,9.435332e-01,5.272167e-02,3.544709e-03,1.921057e-04,8.020923e-06,2.549341e-07,6.118041e-09,1.095466e-10,1.435191e-12,1.332296e-14,8.294431e-17,3.114856e-19,5.386041e-22
43,9.600000e-01,9.997127e-01,8.326434e-03,5.935615e+00,9.415649e-01,5.442297e-02,3.789980e-03,2.126064e-04,9.187536e-06,3.021639e-07,7.500219e-09,1.388129e-10,1.878281e-12,1.799119e-14,1.154494e-16,4.463925e-19,7.944683e-22
44,9.800000e-01,9.997070e-01,8.296868e-03,5.933300e+00,9.395852e-01,5.612543e-02,4.043932e-03,2.345501e-04,1.047871e-05,3.562040e-07,9.134456e-09,1.745465e-10,2.436475e-12,2.405274e-14,1.589015e-16,6.318143e-19,1.155626e-21
45,1.000000e+00,9.997013e-01,8.275490e-03,5.930962e+00,9.375941e-01,5.782904e-02,4.306538e-03,2.579818e-04,1.190268e-05,4.177491e-07,1.105560e-08,2.178773e-10,3.134074e-12,3.185198e-14,2.163943e-16,8.837652e-19,1.658919e-21
46,1.020000e+00,9.996957e-01,8.262289e-03,5.928601e+00,9.355915e-01,5.953381e-02,4.577768e-03,2.829451e-04,1.346785e-05,4.875327e-07,1.330169e-08,2.700787e-10,3.999304e-12,4.180066e-14,2.917278e-16,1.222423e-18,2.351868e-21
47,1.040000e+00,9.996900e-01,8.257284e-03,5.926215e+00,9.335773e-01,6.123982e-02,4.857592e-03,3.094827e-04,1.518277e-05,5.663268e-07,1.591410e-08,3.325779e-10,5.064747e-12,5.438737e-14,3.895310e-16,1.672972e-18,3.295128e-21
48,1.060000e+00,9.996844e-01,8.260475e-03,5.923806e+00,9.315515e-01,6.294713e-02,5.145979e-03,3.376361e-04,1.705610e-05,6.549418e-07,1.893760e-08,4.069674e-10,6.367789e-12,7.018798e-14,5.153978e-16,2.266559e-18,4.565264e-21
49,1.080000e+00,9.996788e-01,8.271815e-03,5.921373e+00,9.295139e-01,6.465585e-02,5.442897e-03,3.674460e-04,1.909662e-05,7.542255e-07,2.242051e-08,4.950146e-10,7.951081e-12,8.987661e-14,6.760373e-16,3.041385e-18,6.258155e-21
50,1.100000e+00,9.996732e-01,8.291182e-03,5.918916e+00,9.274644e-01,6.636608e-02,5.748316e-03,3.989518e-04,2.131323e-05,8.650632e-07,2.641475e-08,5.986732e-10,9.863021e-12,1.142376e-13,8.794385e-16,4.043923e-18,8.492628e-21
51,1.120000e+00,9.996676e-01,8.318376e-03,5.916434e+00,9.254029e-01,6.807795e-02,6.062203e-03,4.321919e-04,2.371489e-05,9.883762e-07,3.097595e-08,7.200927e-10,1.215825e-11,1.441778e-13,1.135050e-15,5.330281e-18,1.141492e-20
52,1.140000e+00,9.996620e-01,8.353105e-03,5.913927e+00,9.233293e-01,6.979155e-02,6.384526e-03,4.672038e-04,2.631064e-05,1.125122e-06,3.616349e-08,8.616292e-10,1.489813e-11,1.807403e-13,1.453976e-15,6.967712e-18,1.520346e-20
