q	B_gauss	seed	E	grad	conv	stop	fz	fperp	fz2	Lz	Sz	Jz	n_pop	pr	m_peak	p_peak
0.6416469814	0.2228305251	flower	15.4941794063	9.48e-07	true	tol	4.2495016e-08	5.6952028	1.3087402	-4.5142329e-08	4.2495016e-08	-2.6473134e-09	5	3.9415	0	0.381684
1.214444559	0.3065599754	transverse	15.1449730553	8.026e-07	true	tol	-2.7874371e-17	5.6305108	1.1370838	1.4571512e-18	-1.5920408e-17	-1.4463257e-17	5	3.6602	0	0.406623
1.214444559	0.3065599754	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
1.214444559	0.3065599754	flower	15.687021003	7.573e-07	true	tol	-2.6199853e-09	5.5820628	1.0581064	3.1316638e-09	-2.6199853e-09	5.1167851e-10	5	3.5027	0	0.427074
2.298577923	0.4217510976	transverse	16.1612443627	9.799e-07	true	tol	-2.991261e-18	5.3009344	0.78373348	4.1531994e-19	-3.6304362e-17	-3.5889042e-17	3	2.9728	0	0.493313
2.298577923	0.4217510976	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
2.298577923	0.4217510976	flower	16.6345361625	9.297e-07	true	tol	-1.0574544e-09	5.2477637	0.73062774	1.5863993e-09	-1.0574544e-09	5.289449e-10	3	2.8451	0	0.513949
4.350515987	0.580225739	transverse	17.2010526935	7.85e-07	true	tol	-2.4305088e-18	4.8091364	0.524335	1.69931e-19	-8.1070539e-18	-7.9371229e-18	3	2.3524	0	0.598978
4.350515987	0.580225739	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
4.350515987	0.580225739	flower	17.8038845995	9.971e-07	true	tol	1.4549395e-09	4.5952253	0.44665509	-1.107865e-09	1.4549395e-09	3.4707442e-10	3	2.1522	0	0.639373
8.234216976	0.7982478533	transverse	18.6477420758	9.627e-07	true	tol	1.207696e-18	3.6101469	0.25481095	5.350675e-19	-1.6340353e-17	-1.5805286e-17	3	1.616	0	0.771018
8.234216976	0.7982478533	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
8.234216976	0.7982478533	flower	18.885282038	7.787e-07	true	tol	-2.1960525e-10	3.3369733	0.21933495	1.8553615e-10	-2.1960524e-10	-3.4069088e-11	3	1.5164	0	0.8005
15.5848937	1.098192638	transverse	19.5497261443	9.839e-07	true	tol	1.8565405e-19	1.1952098	0.037883503	-9.8131444e-19	-3.9124155e-19	-1.372556e-18	1	1.0777	0	0.962925
15.5848937	1.098192638	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
15.5848937	1.098192638	flower	19.5964955405	9.542e-07	true	tol	1.1214093e-11	0.6686402	0.014472623	2.3873505e-10	1.1214093e-11	2.4994914e-10	1	1.0292	0	0.985673
29.49751171	1.510842862	transverse	19.6078787395	8.11e-07	true	tol	-6.2497469e-30	1.2059766e-08	1.4959501e-17	-8.0314936e-20	-6.2494802e-30	-8.0314936e-20	1	1	0	1
29.49751171	1.510842862	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
29.49751171	1.510842862	flower	19.6078787395	9.807e-07	true	tol	7.2174558e-18	4.2929309e-09	1.6241106e-17	-5.9699626e-11	7.2174558e-18	-5.9699619e-11	1	1	0	1
55.82990901	2.078548037	transverse	19.6078787395	9.724e-07	true	tol	2.9007614e-28	1.0049265e-08	8.5551728e-18	3.0472417e-18	2.900758e-28	3.0472417e-18	1	1	0	1
55.82990901	2.078548037	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
55.82990901	2.078548037	flower	19.6078787395	8.525e-07	true	tol	3.9463912e-18	1.3716517e-09	7.5487654e-18	1.4349927e-10	3.9463912e-18	1.4349928e-10	1	1	0	1
105.6692093	2.859570676	transverse	19.6078787395	3.189e-06	false	line_search_stalled	6.4748028e-29	8.6886889e-09	1.3226636e-17	-2.4671985e-17	6.4748368e-29	-2.4671985e-17	1	1	0	1
105.6692093	2.859570676	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
105.6692093	2.859570676	flower	19.6078787395	4.241e-06	false	line_search_stalled	6.4216485e-18	1.3628477e-08	2.354663e-17	-1.1984757e-10	6.4216485e-18	-1.1984757e-10	1	1	0	1
200	3.934065657	transverse	19.6078787395	8.786e-06	false	line_search_stalled	5.3000273e-27	8.8497221e-09	7.7901351e-17	-8.4584814e-19	5.3000238e-27	-8.4584814e-19	1	1	0	1
200	3.934065657	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
200	3.934065657	flower	19.6078787395	7.434e-06	false	line_search_stalled	7.7847697e-19	2.3690171e-08	2.8250258e-17	3.8332882e-10	7.7847697e-19	3.8332882e-10	1	1	0	1
