t_ms,N_K3_0,N_K3_1e40,E_K3_0,E_K3_1e40,Fz_K3_0,Fz_K3_1e40,B_uG
30.74584055800309,1.0000000000029525,0.836619758869959,-384.2244603898952,-322.1346675860738,-5.999924349833022,-5.999933844196883,4465.7486995594445
32.55441941435584,1.000000000003126,0.8285138016457294,-355.3252883994789,-295.1057766210332,-5.999912414180466,-5.999923035062384,4140.204505415948
34.36299827070861,1.000000000003299,0.8205404294723949,-326.42618259363866,-268.5877511216371,-5.999896562120431,-5.999911039948087,3814.660311272452
36.17157712706136,1.0000000000034692,0.8127012841316743,-297.52716136025765,-242.569627194722,-5.999876442520667,-5.999893203035323,3489.1161171289555
37.98015598341412,1.000000000003638,0.8050001018443509,-268.62825046366044,-217.04081590065303,-5.99985032373632,-5.999872754928011,3163.571922985459
39.78873483976688,1.0000000000038047,0.7974342971229649,-239.72948736993908,-191.98870147459021,-5.99981479986372,-5.9998412465293045,2838.027728841963
41.597313696119635,1.0000000000039684,0.7899633338393883,-191.2624443570916,-151.93486367954884,-5.999716979140638,-5.999762724322798,2292.041466124388
43.405892552472395,1.0000000000041296,0.7826415207316676,-148.8198468566215,-117.34037504416378,-5.999553000138152,-5.999622970050774,1813.9111308641648
45.214471408825155,1.0000000000042935,0.77540448946207,-116.28397620908771,-91.0574940939794,-5.999303162544755,-5.99942117491521,1447.371146411473
47.023050265178426,1.0000000000044555,0.7682881652596787,-93.65446771286423,-72.86564939179915,-5.998982433720813,-5.9991527977031875,1192.421512766256
48.831629121532465,1.0000000000046179,0.7612497795987183,-80.93045080660347,-62.5415838364582,-5.9986965055906785,-5.998935346201743,1049.0622299286085
50.64020797788651,1.000000000004783,0.7543659479730933,-76.17037283580143,-58.41402332361703,-5.998560119991825,-5.998821203379608,995.4293155680066
52.44878683424056,1.0000000000049478,0.7475381210323365,-75.02440134965092,-57.05746085486862,-5.998522480378575,-5.99880923031505,982.5171940257857
54.2573656905946,1.000000000005112,0.7408650980927426,-73.87843689965555,-55.72697417353924,-5.998485538462212,-5.998773192435162,969.6050724835649
56.065944546948636,1.0000000000052773,0.7342671083496728,-72.73247992908956,-54.41686179084327,-5.998456812209628,-5.998761479486368,956.692950941344
57.87452340330269,1.0000000000054428,0.7278091981225158,-71.58653057490694,-53.13097129192079,-5.998429035738918,-5.998742847600753,943.780829399123
59.68310225965673,1.0000000000056073,0.7214007174665305,-70.44058930259355,-51.86311906718042,-5.998381418311037,-5.998727997042812,930.8687078569022
61.49168111601077,1.0000000000057725,0.7151549458074342,-69.29465623431449,-50.620226027325415,-5.9983116398554746,-5.998686262628282,917.9565863146814
63.30025997236481,1.0000000000059366,0.7089524092364667,-68.14873196272319,-49.394398542319394,-5.998265181662845,-5.9986446497836745,905.0444647724605
65.10883882871886,1.0000000000061018,0.7028847294939768,-67.00281662866904,-48.19095647623069,-5.998241351369365,-5.998623866444505,892.1323432302396
66.91741768507289,1.0000000000062663,0.6968726856976358,-65.85691071090254,-47.00484560559231,-5.998173597619658,-5.998599855805934,879.2202216880189
68.72599654142694,1.0000000000064326,0.6910007451523166,-64.71101464765744,-45.84073354285547,-5.9981288976647695,-5.998562936702449,866.308100145798
70.534575397781,1.0000000000065983,0.6851602113663803,-63.565128755285826,-44.691934462964795,-5.998064813551976,-5.998541042965136,853.3959786035772
72.34315425413503,1.000000000006764,0.6794574566084596,-62.419253541498655,-43.56430611878955,-5.998019468703025,-5.9984864758587175,840.4838570613562
