power_factor,tau_s,value
0.13,2.4913793103448274,612.2979246374748
0.13,2.593103448275862,566.2386864551445
0.13,2.6948275862068964,526.4755708743783
0.13,2.796551724137931,486.57694068669844
0.13,2.8982758620689655,449.03381705355787
0.13,3.0,416.41105935346695
0.16,0.05,8575.052904173093
0.16,0.15172413793103448,7305.607290874244
0.16,0.253448275862069,6075.184580814006
0.16,0.35517241379310344,5122.779994908211
0.16,0.45689655172413796,4293.851839111101
0.16,0.5586206896551724,3681.312489223591
0.16,0.6603448275862069,3211.4949365377724
0.16,0.7620689655172413,2820.450627964794
0.16,0.8637931034482759,2493.282219163403
0.16,0.9655172413793104,2217.348626098191
0.16,1.0672413793103448,1982.9156382515375
0.16,1.1689655172413793,1789.7166678610483
0.16,1.2706896551724138,1622.4677454490975
0.16,1.3724137931034484,1474.991785080305
0.16,1.4741379310344827,1344.7530674392892
0.16,1.5758620689655172,1228.4213823915074
0.16,1.6775862068965517,1130.3133418050666
0.16,1.7793103448275862,1036.9348675639403
0.16,1.8810344827586207,956.7586927386592
0.16,1.9827586206896552,883.705471168485
0.16,2.0844827586206898,813.0010152659165
0.16,2.1862068965517243,752.0895600059316
0.16,2.287931034482759,699.438302677383
0.16,2.389655172413793,647.6100394941964
0.16,2.4913793103448274,599.4137472079587
0.16,2.593103448275862,554.4986011275196
0.16,2.6948275862068964,515.5964386903597
0.16,2.796551724137931,476.7092824567967
0.16,2.8982758620689655,442.6584124178521
0.16,3.0,408.30527110688854
0.19,0.05,8708.340090395875
0.19,0.15172413793103448,7492.122806692098
0.19,0.253448275862069,6013.690693809265
0.19,0.35517241379310344,5050.480252937752
0.19,0.45689655172413796,4267.683182643487
0.19,0.5586206896551724,3645.0695889942263
0.19,0.6603448275862069,3144.204896934494
0.19,0.7620689655172413,2757.9324361939907
0.19,0.8637931034482759,2435.4439860419943
0.19,0.9655172413793104,2163.912217121635
0.19,1.0672413793103448,1945.0769683314102
0.19,1.1689655172413793,1753.8182250706104
0.19,1.2706896551724138,1580.7985231827738
0.19,1.3724137931034484,1436.5888250707944
0.19,1.4741379310344827,1315.7117070530276
0.19,1.5758620689655172,1201.7039565600826
0.19,1.6775862068965517,1100.1259274225795
0.19,1.7793103448275862,1013.9202876842674
0.19,1.8810344827586207,935.3457569691664
0.19,1.9827586206896552,863.8428452030043
0.19,2.0844827586206898,798.5504371469015
0.19,2.1862068965517243,738.779146672377
0.19,2.287931034482759,683.774646365383
0.19,2.389655172413793,633.2047044002038
0.19,2.4913793103448274,586.2117580591412
0.19,2.593103448275862,542.4209206046476
0.19,2.6948275862068964,504.42148089191005
0.19,2.796551724137931,466.52980875443336
0.19,2.8982758620689655,433.2939664302453
0.19,3.0,399.8659719596926
0.22,0.05,8799.148855716565
0.22,0.15172413793103448,7456.363948882819
0.22,0.253448275862069,6057.752164987169
0.22,0.35517241379310344,4973.395118948566
0.22,0.45689655172413796,4191.224629635711
0.22,0.5586206896551724,3572.2595373903296
0.22,0.6603448275862069,3100.869370523532
0.22,0.7620689655172413,2713.6110243002404
0.22,0.8637931034482759,2392.545053329055
0.22,0.9655172413793104,2123.620864104375
0.22,1.0672413793103448,1906.5283642713766
0.22,1.1689655172413793,1709.156349156834
0.22,1.2706896551724138,1547.7239648498307
0.22,1.3724137931034484,1405.8595290264898
0.22,1.4741379310344827,1286.6834521652804
0.22,1.5758620689655172,1175.0505866089675
0.22,1.6775862068965517,1075.588455834522
0.22,1.7793103448275862,991.0400010842977
0.22,1.8810344827586207,914.0713258043729
0.22,1.9827586206896552,844.1639095450191
0.22,2.0844827586206898,780.3231781227287
0.22,2.1862068965517243,721.9464506411782
0.22,2.287931034482759,668.2661676008411
0.22,2.389655172413793,618.9134046364861
0.22,2.4913793103448274,573.1289674427294
0.22,2.593103448275862,532.9310183034772
0.22,2.6948275862068964,493.3431568937158
0.22,2.796551724137931,456.43154462632083
0.22,2.8982758620689655,424.01080413707587
0.22,3.0,393.5073891434022
0.25,0.05,8861.274174451575
0.25,0.15172413793103448,7410.109160408707
0.25,0.253448275862069,5984.979835284927
0.25,0.35517241379310344,4955.512116387994
0.25,0.45689655172413796,4113.615494540951
0.25,0.5586206896551724,3529.808529309289
0.25,0.6603448275862069,3033.5351218562964
0.25,0.7620689655172413,2651.7036341102703
0.25,0.8637931034482759,2335.802014819704
0.25,0.9655172413793104,2083.018600317775
0.25,1.0672413793103448,1858.9186748705124
0.25,1.1689655172413793,1673.9549415419165
0.25,1.2706896551724138,1514.950507057179
0.25,1.3724137931034484,1375.5030834066974
0.25,1.4741379310344827,1258.1614438979682
0.25,1.5758620689655172,1148.8867488422134
0.25,1.6775862068965517,1051.4864129695584
0.25,1.7793103448275862,968.6355833657367
0.25,1.8810344827586207,893.2854137635604
0.25,1.9827586206896552,824.93074778661
0.25,2.0844827586206898,762.561125922442
0.25,2.1862068965517243,705.5333084677482
0.25,2.287931034482759,653.1675499755111
0.25,2.389655172413793,605.0034749837241
0.25,2.4913793103448274,562.7664083181398
0.25,2.593103448275862,521.1670956580883
0.25,2.6948275862068964,482.57148746666917
0.25,2.796551724137931,448.7356600113462
0.25,2.8982758620689655,415.00221565463653
0.25,3.0,385.2776079793439
0.28,0.05,8903.048685085569
0.28,0.15172413793103448,7356.679856710967
0.28,0.253448275862069,5908.974017806342
0.28,0.35517241379310344,4876.564559730026
