nu_Hz,N0,value
22.203389830508474,703813.5554931562,0.4857308115686435
22.203389830508474,791234.2618981326,0.4423007614442452
22.203389830508474,889513.4973108236,0.40275386884019526
22.203389830508474,1.0e6,0.36674293378125405
26.271186440677965,1000.0,61.52006544460821
26.271186440677965,1124.2100350620863,56.01944769032758
26.271186440677965,1263.8482029342983,51.01064988877359
26.271186440677965,1420.8308325339224,46.449697548951704
26.271186440677965,1597.312280060254,42.29654801680793
26.271186440677965,1795.714494371641,38.51473892274059
26.271186440677965,2018.7602546790388,35.07106806204132
26.271186440677965,2269.5105366946686,31.9353018977913
26.271186440677965,2551.4065200312875,29.079910127028857
26.271186440677965,2868.3168133420118,26.47982397982465
26.271186440677965,3224.590545296395,24.112216129264176
26.271186440677965,3625.1170499885316,21.95630028006693
26.271186440677965,4075.392965871778,19.993148676341868
26.271186440677965,4581.597669054491,18.20552592629656
26.271186440677965,5150.678076168122,16.57773768497278
26.271186440677965,5790.443980602489,15.095492866526131
26.271186440677965,6509.6752304581705,13.745778176349264
26.271186440677965,7318.2422190761745,12.51674386149945
26.271186440677965,8227.241341700466,11.397599676382512
26.271186440677965,9249.147277217335,10.378520150328665
26.271186440677965,10397.984184814899,9.450558325361843
26.271186440677965,11689.518164985777,8.605567206827427
26.271186440677965,13141.473626117553,7.836128237258211
26.271186440677965,14773.776525985128,7.135486165518338
26.271186440677965,16608.827826277167,6.49748973941223
26.271186440677965,18671.810912919205,5.916537701072039
26.271186440677965,20991.037201085546,5.387529610993038
26.271186440677965,23598.33466782194,4.905821068978828
26.271186440677965,26529.484644318945,4.46718293886101
26.271186440677965,29824.71286216888,4.067764219008658
26.271186440677965,33529.2414924956,3.7040582326511955
26.271186440677965,37693.909753883636,3.3728718411842453
26.271186440677965,42375.87160604064,3.071297410168141
26.271186440677965,47639.380104013406,2.79668728189612
26.271186440677965,53556.669177068965,2.546630530415261
26.271186440677965,60208.94493336126,2.318931794922077
26.271186440677965,67687.50009458528,2.1115920057016124
26.271186440677965,76094.96685459884,1.9227908333943833
26.271186440677965,85546.72535565685,1.750870707505374
26.271186440677965,96172.48711152964,1.594322263846363
26.271186440677965,108118.07510766077,1.451771093148173
26.271186440677965,121547.4250076286,1.3219656745028956
26.271186440677965,136644.83492953243,1.2037663876983742
26.271186440677965,153617.49466718297,1.0961355079792703
26.271186440677965,172698.3290659436,0.9981280953942332
26.271186440677965,194149.19457438815,0.9088836987426203
26.271186440677965,218264.47283974872,0.8276188012860124
26.271186440677965,245375.11066398167,0.7536199419020084
26.271186440677965,275853.1617629181,0.6862374512878112
26.271186440677965,310116.8926574775,0.6248797482209197
26.271186440677965,348636.52276780875,0.5690081458012297
26.271186440677965,391940.6774847221,0.518132122076212
26.271186440677965,440623.6427773573,0.4718050135278369
26.271186440677965,495353.52089591697,0.42962009361245534
26.271186440677965,556881.3990945267,0.39120700192535146
26.271186440677965,626051.6572014815,0.35622849264000295
26.271186440677965,703813.5554931562,0.32437747367513275
26.271186440677965,791234.2618981326,0.2953743105950697
26.271186440677965,889513.4973108236,0.2689643715731333
26.271186440677965,1.0e6,0.2449157918641895
30.338983050847457,1000.0,43.54773686463054
30.338983050847457,1124.2100350620863,39.65405676489127
30.338983050847457,1263.8482029342983,36.10851748280765
30.338983050847457,1420.8308325339224,32.8799911327257
30.338983050847457,1597.312280060254,29.94013302824913
30.338983050847457,1795.714494371641,27.263132831476
30.338983050847457,2018.7602546790388,24.825487952421817
30.338983050847457,2269.5105366946686,22.605797209200425
30.338983050847457,2551.4065200312875,20.58457293741297
30.338983050847457,2868.3168133420118,18.744069899168185
30.338983050847457,3224.590545296395,17.068129489649685
30.338983050847457,3625.1170499885316,15.542037873449113
30.338983050847457,4075.392965871778,14.152396805180556
30.338983050847457,4581.597669054491,12.887006000252157
30.338983050847457,5150.678076168122,11.734756023074661
30.338983050847457,5790.443980602489,10.685530752324667
30.338983050847457,6509.6752304581705,9.730118566961005
30.338983050847457,7318.2422190761745,8.860131473256248
