x,z,n,fz,localF
-3.37500,-1.87500,1.239807e-03,3.019286e-03,5.99999
-3.12500,-1.87500,2.263778e-03,5.411762e-03,6.00000
-2.87500,-1.87500,2.596676e-03,6.483225e-03,6.00000
-2.62500,-1.87500,2.628065e-03,6.763339e-03,5.99999
-2.37500,-1.87500,2.942555e-03,7.527187e-03,5.99998
-2.12500,-1.87500,2.950721e-03,7.682598e-03,5.99999
-1.87500,-1.87500,2.703280e-03,6.917631e-03,6.00000
-1.62500,-1.87500,3.069461e-03,7.367629e-03,5.99996
-1.37500,-1.87500,3.363720e-03,7.963143e-03,5.99998
-1.12500,-1.87500,3.452641e-03,8.652583e-03,6.00000
-0.87500,-1.87500,3.867669e-03,1.007220e-02,5.99998
-0.62500,-1.87500,3.889410e-03,9.856868e-03,6.00000
-0.37500,-1.87500,3.749972e-03,9.163748e-03,6.00000
-0.12500,-1.87500,3.471752e-03,8.443589e-03,6.00000
0.12500,-1.87500,3.486077e-03,8.382106e-03,6.00000
0.37500,-1.87500,3.753886e-03,8.995235e-03,6.00000
0.62500,-1.87500,3.869968e-03,8.927530e-03,6.00000
0.87500,-1.87500,3.853563e-03,8.616379e-03,5.99998
1.12500,-1.87500,3.436514e-03,8.037918e-03,6.00000
1.37500,-1.87500,3.334159e-03,8.255900e-03,5.99997
1.62500,-1.87500,3.046412e-03,7.448607e-03,5.99996
1.87500,-1.87500,2.688758e-03,6.152181e-03,6.00000
2.12500,-1.87500,2.948309e-03,6.610733e-03,5.99999
2.37500,-1.87500,2.929756e-03,6.693334e-03,5.99998
2.62500,-1.87500,2.607685e-03,5.903444e-03,5.99999
2.87500,-1.87500,2.573931e-03,6.037088e-03,6.00000
3.12500,-1.87500,2.250977e-03,5.534372e-03,6.00000
3.37500,-1.87500,1.240682e-03,2.994606e-03,5.99999
3.62500,-1.87500,8.341474e-04,1.845941e-03,5.99993
3.87500,-1.87500,7.777514e-04,1.788760e-03,5.99991
4.12500,-1.87500,5.033092e-04,1.224059e-03,5.99993
4.37500,-1.87500,3.018806e-04,7.115483e-04,5.99998
4.62500,-1.87500,1.268705e-04,2.658535e-04,5.99945
4.87500,-1.87500,4.070577e-05,7.552008e-05,5.99873
5.12500,-1.87500,5.469031e-05,1.626891e-04,5.99916
5.37500,-1.87500,3.753818e-05,9.025824e-05,5.99766
5.62500,-1.87500,1.931530e-05,4.394818e-05,5.99638
5.87500,-1.87500,7.737850e-05,1.855481e-04,5.99993
-5.87500,-1.62500,7.266118e-05,1.395401e-04,5.99963
