x,z,n,fz,localF
5.62500,-2.37500,7.367658e-04,-5.431472e-05,3.98677
5.87500,-2.37500,4.724649e-04,-2.456851e-04,3.59825
-5.87500,-2.12500,2.551672e-04,7.079775e-04,4.72089
-5.62500,-2.12500,7.706252e-04,1.973068e-03,4.43627
-5.37500,-2.12500,2.368912e-04,2.260610e-05,4.26382
-5.12500,-2.12500,3.083303e-04,5.893310e-07,3.43934
-4.87500,-2.12500,5.532991e-04,5.410254e-05,4.17170
-4.62500,-2.12500,3.866244e-04,1.705988e-04,4.24961
-4.37500,-2.12500,6.757163e-04,5.648781e-04,3.49108
-4.12500,-2.12500,5.804775e-04,3.524668e-05,4.27210
-3.87500,-2.12500,9.189327e-04,9.957198e-04,5.06508
-3.62500,-2.12500,7.469853e-04,1.355714e-03,4.78252
-3.37500,-2.12500,7.929219e-04,4.683445e-04,4.23875
-3.12500,-2.12500,9.056796e-04,4.422868e-05,4.24233
-2.87500,-2.12500,2.237604e-03,9.971844e-04,5.22851
-2.62500,-2.12500,1.692430e-03,9.179284e-04,5.29233
-2.37500,-2.12500,1.417144e-03,8.988754e-04,4.95192
-2.12500,-2.12500,1.508454e-03,-2.837895e-04,5.10469
-1.87500,-2.12500,7.300367e-04,-4.091020e-04,3.67854
-1.62500,-2.12500,6.503956e-04,5.097317e-04,4.35418
-1.37500,-2.12500,9.687999e-04,-3.871261e-04,5.49031
-1.12500,-2.12500,1.122409e-03,1.282844e-03,5.41675
-0.87500,-2.12500,1.674188e-03,1.438231e-03,5.30440
-0.62500,-2.12500,1.346512e-03,1.474245e-03,4.64746
-0.37500,-2.12500,1.660008e-03,2.333034e-03,5.30492
-0.12500,-2.12500,1.779666e-03,1.196301e-03,5.09793
0.12500,-2.12500,2.568419e-03,2.545642e-03,5.50081
0.37500,-2.12500,2.944030e-03,3.048346e-03,5.79533
0.62500,-2.12500,2.359061e-03,3.846736e-03,5.47676
0.87500,-2.12500,2.407981e-03,8.191015e-04,5.79455
1.12500,-2.12500,1.367663e-03,7.605091e-04,5.45659
1.37500,-2.12500,1.620003e-03,9.261744e-05,5.11546
1.62500,-2.12500,8.005569e-04,1.122828e-04,5.02525
1.87500,-2.12500,1.240059e-03,-5.277329e-04,4.99222
2.12500,-2.12500,1.172602e-03,7.752250e-04,5.12044
2.37500,-2.12500,1.498210e-03,-1.580112e-03,5.00959
2.62500,-2.12500,2.024601e-03,-5.487313e-03,5.59499
2.87500,-2.12500,1.055527e-03,-1.181313e-03,4.64559
3.12500,-2.12500,1.072698e-03,1.286304e-04,4.94023
3.37500,-2.12500,5.939838e-04,8.047148e-04,3.62183
3.62500,-2.12500,2.650432e-04,4.617014e-04,3.08069
3.87500,-2.12500,1.016948e-03,8.920287e-05,3.01606
4.12500,-2.12500,4.954450e-04,9.727345e-04,3.37898
4.37500,-2.12500,4.876449e-04,8.743904e-04,4.55749
4.62500,-2.12500,9.211232e-04,1.746033e-03,4.61141
4.87500,-2.12500,5.324698e-04,6.116785e-04,3.77449
5.12500,-2.12500,3.546142e-04,-7.269658e-05,3.42996
5.37500,-2.12500,6.073797e-04,1.660503e-03,4.63566
5.62500,-2.12500,6.653385e-04,6.417846e-04,4.69211
5.87500,-2.12500,2.147064e-04,8.532110e-05,4.50144
-5.87500,-1.87500,4.508631e-04,3.048486e-04,4.39554
-5.62500,-1.87500,4.840239e-04,1.613323e-04,3.34374
-5.37500,-1.87500,4.690106e-04,-1.032982e-04,4.40698
-5.12500,-1.87500,8.002706e-04,-9.520868e-04,4.59267
-4.87500,-1.87500,4.230406e-04,2.755404e-04,3.01943
-4.62500,-1.87500,6.046700e-04,-3.021365e-04,3.42673
-4.37500,-1.87500,8.997755e-04,1.215240e-03,4.10075
-4.12500,-1.87500,5.821773e-04,1.451934e-04,4.57288
-3.87500,-1.87500,9.684083e-04,4.061123e-04,5.04342
-3.62500,-1.87500,7.244950e-04,9.223991e-04,4.29264
-3.37500,-1.87500,8.443275e-04,5.295416e-04,4.90116
-3.12500,-1.87500,2.316848e-03,-6.349044e-04,5.10330
-2.87500,-1.87500,1.887511e-03,1.651952e-03,5.11281
-2.62500,-1.87500,1.213980e-03,1.201149e-03,5.61157
-2.37500,-1.87500,1.418687e-03,-2.200304e-04,5.22035
-2.12500,-1.87500,1.779788e-03,-1.386399e-03,5.59694
-1.87500,-1.87500,1.743776e-03,-2.654201e-04,5.48295
-1.62500,-1.87500,1.190955e-03,8.272084e-04,5.21790
