which,t_s,N,N0,Nth,T_nK
ramp_only,1.058200e+00,7.477862e+05,0.000000e+00,7.477862e+05,9999.9060
ramp_only,1.065600e+00,7.449629e+05,0.000000e+00,7.449629e+05,9864.6716
ramp_only,1.073000e+00,7.421587e+05,0.000000e+00,7.421587e+05,9731.0140
ramp_only,1.080400e+00,7.393709e+05,0.000000e+00,7.393709e+05,9598.7970
ramp_only,1.087800e+00,7.365969e+05,0.000000e+00,7.365969e+05,9467.8858
ramp_only,1.095200e+00,7.338345e+05,0.000000e+00,7.338345e+05,9338.1703
ramp_only,1.102600e+00,7.310812e+05,0.000000e+00,7.310812e+05,9209.5538
ramp_only,1.110000e+00,7.283293e+05,0.000000e+00,7.283293e+05,9080.1245
ramp_only,1.117400e+00,7.255503e+05,0.000000e+00,7.255503e+05,8948.2225
ramp_only,1.124800e+00,7.227154e+05,0.000000e+00,7.227154e+05,8813.4315
ramp_only,1.132200e+00,7.198173e+05,0.000000e+00,7.198173e+05,8677.1554
ramp_only,1.139600e+00,7.168548e+05,0.000000e+00,7.168548e+05,8539.4323
ramp_only,1.147000e+00,7.138265e+05,0.000000e+00,7.138265e+05,8400.3062
ramp_only,1.154400e+00,7.107308e+05,0.000000e+00,7.107308e+05,8259.8551
ramp_only,1.161800e+00,7.075667e+05,0.000000e+00,7.075667e+05,8118.1541
ramp_only,1.169200e+00,7.043327e+05,0.000000e+00,7.043327e+05,7975.2535
ramp_only,1.176600e+00,7.010269e+05,0.000000e+00,7.010269e+05,7831.1755
ramp_only,1.184000e+00,6.976472e+05,0.000000e+00,6.976472e+05,7685.9366
ramp_only,1.191400e+00,6.941915e+05,0.000000e+00,6.941915e+05,7539.5700
ramp_only,1.198800e+00,6.906570e+05,0.000000e+00,6.906570e+05,7392.1232
ramp_only,1.206200e+00,6.870412e+05,0.000000e+00,6.870412e+05,7243.6602
ramp_only,1.213600e+00,6.833409e+05,0.000000e+00,6.833409e+05,7094.2137
ramp_only,1.221000e+00,6.795530e+05,0.000000e+00,6.795530e+05,6943.8028
ramp_only,1.228400e+00,6.756745e+05,0.000000e+00,6.756745e+05,6792.4331
ramp_only,1.235800e+00,6.717019e+05,0.000000e+00,6.717019e+05,6640.1353
ramp_only,1.243200e+00,6.676313e+05,0.000000e+00,6.676313e+05,6486.9360
ramp_only,1.250600e+00,6.634576e+05,0.000000e+00,6.634576e+05,6332.8892
ramp_only,1.258000e+00,6.591756e+05,0.000000e+00,6.591756e+05,6178.0166
ramp_only,1.265400e+00,6.547792e+05,0.000000e+00,6.547792e+05,6022.3280
ramp_only,1.272800e+00,6.502620e+05,0.000000e+00,6.502620e+05,5865.7880
ramp_only,1.280200e+00,6.456172e+05,0.000000e+00,6.456172e+05,5708.9538
ramp_only,1.287600e+00,6.409521e+05,0.000000e+00,6.409521e+05,5571.5614
ramp_only,1.295000e+00,6.364371e+05,0.000000e+00,6.364371e+05,5443.6797
ramp_only,1.302400e+00,6.320606e+05,0.000000e+00,6.320606e+05,5321.1191
ramp_only,1.309800e+00,6.277981e+05,0.000000e+00,6.277981e+05,5202.7229
ramp_only,1.317200e+00,6.236285e+05,0.000000e+00,6.236285e+05,5087.9099
ramp_only,1.324600e+00,6.195336e+05,0.000000e+00,6.195336e+05,4976.1849
ramp_only,1.332000e+00,6.154977e+05,0.000000e+00,6.154977e+05,4867.1379
ramp_only,1.339400e+00,6.115070e+05,0.000000e+00,6.115070e+05,4760.4244
ramp_only,1.346800e+00,6.075494e+05,0.000000e+00,6.075494e+05,4655.7603
ramp_only,1.354200e+00,6.036140e+05,0.000000e+00,6.036140e+05,4552.8895
