t,Fx,Fy,Fz,Fmag,Lz
32.50000,0.62122,1.77550,2.36435,3.02134,-2.40411
32.75000,0.81652,1.69794,2.34316,3.00668,-2.42189
33.00000,0.99612,1.60097,2.31940,2.98915,-2.43763
33.25000,1.16390,1.48609,2.29218,2.96938,-2.44976
33.50000,1.32388,1.35071,2.26217,2.94864,-2.45937
33.75000,1.47608,1.19232,2.23052,2.92842,-2.46853
34.00000,1.61528,1.01124,2.19610,2.90767,-2.47314
34.25000,1.73827,0.81035,2.15612,2.88567,-2.47224
34.50000,1.84309,0.58942,2.11254,2.86483,-2.46727
34.75000,1.92229,0.34726,2.06866,2.84520,-2.46280
35.00000,1.96624,0.08839,2.02611,2.82472,-2.46043
35.25000,1.97267,-0.17850,1.98658,2.80532,-2.46158
35.50000,1.94617,-0.44609,1.95254,2.79267,-2.46718
35.75000,1.88907,-0.70705,1.92468,2.78799,-2.48173
36.00000,1.79540,-0.95403,1.89866,2.78182,-2.50012
36.25000,1.66315,-1.18051,1.86934,2.76661,-2.51629
36.50000,1.49997,-1.38208,1.83242,2.74187,-2.52290
36.75000,1.31425,-1.55746,1.78950,2.71205,-2.52316
37.00000,1.10818,-1.70521,1.74395,2.67902,-2.52075
37.25000,0.88399,-1.82090,1.69913,2.64275,-2.51861
37.50000,0.64676,-1.89668,1.65540,2.59924,-2.51778
37.75000,0.40712,-1.93298,1.61211,2.54972,-2.51564
38.00000,0.17451,-1.93641,1.57160,2.50001,-2.51491
38.25000,-0.04805,-1.91536,1.53175,2.45300,-2.51488
38.50000,-0.26633,-1.87130,1.49073,2.40727,-2.51332
38.75000,-0.48181,-1.80298,1.44864,2.36250,-2.50988
39.00000,-0.69190,-1.71195,1.40341,2.31928,-2.50328
39.25000,-0.89322,-1.59699,1.35776,2.27853,-2.49359
39.50000,-1.08163,-1.45733,1.31303,2.24004,-2.48426
39.75000,-1.25154,-1.29313,1.27093,2.20314,-2.47771
40.00000,-1.39661,-1.10875,1.23427,2.16870,-2.47658
