t,Fz,Fmag,Lz,Jz,N_m6,N_m5,N_m4
46.40000,-2.13392,2.13840,-2.85886,-4.99277,0.08307,0.12082,0.12588
46.80000,-2.15518,2.16035,-2.83750,-4.99268,0.07903,0.13309,0.13255
47.20000,-2.18615,2.19024,-2.80640,-4.99254,0.07598,0.13517,0.14241
47.60000,-2.22050,2.22326,-2.77179,-4.99229,0.07406,0.14428,0.13501
48.00000,-2.24998,2.25194,-2.74212,-4.99210,0.07389,0.14330,0.13946
48.40000,-2.24698,2.24976,-2.74498,-4.99196,0.07059,0.13554,0.14851
48.80000,-2.22217,2.22591,-2.76964,-4.99181,0.06416,0.12570,0.15796
49.20000,-2.20148,2.20605,-2.79014,-4.99163,0.06129,0.11282,0.15676
49.60000,-2.19599,2.20068,-2.79549,-4.99148,0.05621,0.11227,0.15671
50.00000,-2.19311,2.19746,-2.79824,-4.99134,0.05317,0.10888,0.16123
