c1_ratio,B_uG,kappa,gs_seed,E_gs,E_gap_seeds,Fz,phase,phase_distance,spin_order,nematic_order,Q6,q6_maj,T2,T4,T6,T12,E_density_c0,E_spin_c1,E_ddi,E_zeeman,E_trap
-0.015,40.0,1.3,stretched,8.93357566112627,1.4558185153390468e-5,-3.9595885504422577,ferromagnetic,unknown,0.9951584844363646,6.693756296180035e-7,0.44389686052161664,0.4401654012001145,0.6221345532713296,0.20652416458293565,0.03602063465312463,3.5411943035748155e-5,13.88230625210407,-7.460151219176099,-2.278503788591273,-2.3433738792877046,6.663565265416855
-0.015,48.0,1.3,stretched,8.355562883626035,2.2446400294029445e-10,-5.461382307297017,ferromagnetic,unknown,0.9998214298558468,1.542294364848688e-14,0.39233928561155473,0.4550568705605196,0.6282966049458365,0.20791623763005254,0.034159189473121,2.1085496169480263e-7,12.624994311043883,-6.816279526554707,-1.1208464669718052,-3.878592258268265,7.267400947884615
-0.015,55.0,1.3,stretched,7.773486293276521,2.1669777083843655e-10,-5.770323320244754,ferromagnetic,unknown,0.9998689640679291,4.1403295515037717e-14,0.36539735937365314,0.4104223317473568,0.6283700795455747,0.20793431981567012,0.03413118092934579,2.0722249958383822e-7,12.421870772645072,-6.706931253064867,-0.8817567190906749,-4.695621001500449,7.431696980870322
-0.015,62.0,1.3,polar,7.169541054609554,1.0153744511853802e-10,-5.852734350527373,ferromagnetic,unknown,0.9999264603961495,1.3481541243633917e-15,0.7638084002235678,0.7836084415715696,0.6284582657672411,0.2079556329947017,0.03409831110246081,1.9999659321112616e-7,12.325897082896184,-6.655494946306385,-0.8053542452023892,-5.368841976560134,7.490044798359163
-0.015,75.0,1.3,polar,6.039407296314555,7.758416131764534e-11,-5.894768988492546,ferromagnetic,unknown,0.9999720825367127,3.1366274383223393e-18,0.36207371806536764,0.4500132238575792,0.6285283901909677,0.20797266511792772,0.03407201134092537,1.9492712580608003e-7,12.22750065275074,-6.60266601765365,-0.751826210191927,-6.541209802034326,7.537129492703529
-0.015,100.0,1.3,stretched,3.8503062395970025,2.573807833528008e-11,-5.936354648920866,ferromagnetic,unknown,0.9999936729037461,1.7495109860453807e-19,0.4985267656331551,0.5719567671911345,0.6285616680518505,0.20798080176459544,0.03405942783714055,1.928703526696204e-7,12.104534334348669,-6.536407183809475,-0.689460561146358,-8.783138984480267,7.596667705617034
-0.015,0.0,1.6,stretched,10.687100274049934,8.823802133406389e-9,3.6567360467767984e-12,ferromagnetic,unknown,0.9958749269260172,0.00027240378017032683,0.5634762168876328,0.5536760766147371,0.6230150303609423,0.2067601497368046,0.0358283096336058,5.680930757174648e-5,17.79012460158143,-9.567039080307678,-4.402807830145329,-1.980896411497407e-6,6.298896186273734
-0.015,25.0,1.6,stretched,10.44629601551224,1.2032845830844963e-9,-1.6037590238436819,ferromagnetic,unknown,0.9961026056501125,2.1570834320040536e-7,0.5647672856211303,0.5531546993963516,0.6232526631745634,0.2067754644278063,0.03572286540615186,2.217750397116148e-5,17.02868837894262,-9.159653267137587,-3.887767988117053,-0.5932131721195555,6.489605104845249
-0.015,40.0,1.6,stretched,10.007131552519118,0.01539148359632847,-2.6847055932358015,ferromagnetic,unknown,0.9962827234650012,3.5405921469158597e-8,0.40935921795548513,0.397836636170853,0.6233460662396862,0.20681422429737825,0.03575067974222867,6.515087961922569e-6,16.036512953458768,-8.627526432084027,-3.162920782611745,-1.588866555581051,6.79480526891468
-0.015,48.0,1.6,stretched,9.663375097135924,0.062379208958299515,-3.557342009734212,ferromagnetic,unknown,0.9968851638189911,4.842153667489409e-9,0.5489940128896249,0.5486075811442408,0.6240332575695675,0.2070303391430934,0.035474269797812416,1.4100117650928605e-6,15.124844932938828,-8.141976100103749,-2.4537660033553137,-2.5263721151872587,7.127521923986515
-0.015,55.0,1.6,polar,9.276585695632514,0.003371221036658767,-3.9128342247564425,ferromagnetic,unknown,0.9967518160427709,3.736533269361412e-10,0.43133953453961715,0.43748380558959266,0.623796363921324,0.20695277072535853,0.03560077059942002,1.3280504153462214e-6,14.78004243410281,-7.955298434186304,-2.1536264217275365,-3.1840838158485956,7.282741569425835
-0.015,62.0,1.6,stretched,8.800589776944257,0.005363813448289179,-5.300873064863712,ferromagnetic,unknown,0.9996827671765182,6.288771143838992e-14,0.46181006945134767,0.5199408287280269,0.6280836269678536,0.20786459428102866,0.03423889998466906,2.2699049171361462e-7,13.340933367282352,-7.201818640074528,-0.8063636680673963,-4.862609014537089,7.993176308684652
-0.015,75.0,1.6,stretched,7.729235541697629,1.4591439168043507e-10,-5.790087611684481,ferromagnetic,unknown,0.9998037222578685,5.920385120637669e-14,0.43318480300999873,0.5032857712628926,0.628270376076584,0.2079104343679251,0.034167940315429315,2.168143549191568e-7,12.895158164524567,-6.962018651278166,-0.2878254474119091,-6.425049774438869,8.294634187385357
-0.015,100.0,1.6,polar,5.567099097495574,2.0246027077064355e-11,-5.885202677309123,ferromagnetic,unknown,0.9999638510228464,5.902330881759642e-19,0.5091623389664267,0.5780318750636075,0.6285156957935824,0.20796955715176618,0.034076819330995406,1.956867027471735e-7,12.652012481890553,-6.8318397672738564,-0.12290438259967969,-8.707457491748642,8.394530166758027
-0.015,0.0,1.9,stretched,11.409487321296812,5.862297314251919e-10,2.676474027216852e-11,ferromagnetic,unknown,0.9964050107667106,0.00023679241801729343,0.5418980378880391,0.5333817290946347,0.6237257273785094,0.20691547691143664,0.035604152621839906,4.9535277407600965e-5,19.113347824818355,-10.284103194395623,-4.732805001315814,-2.0744686468384726e-6,6.729233328383986
-0.015,25.0,1.9,polar,11.205597916883724,2.5362822952956776e-11,-1.0777111630750715,ferromagnetic,unknown,0.9964527773621688,1.0367822481458383e-6,0.5415606534622996,0.5312693076695475,0.6237796965327823,0.206914420723917,0.03556322444874071,3.941682295284145e-5,18.692958248991065,-10.058391088734822,-4.443895023232637,-0.39863445114486795,6.833094471100448
-0.015,40.0,1.9,polar,10.863252363810647,0.036011689881814135,-1.9434285939306097,ferromagnetic,unknown,0.9965876759253212,3.235505545727176e-7,0.5416777658706508,0.5317952204584317,0.6239158110629431,0.2069253216218444,0.035515700647117884,1.9616400850676674e-5,17.896972098961825,-9.631386988311322,-3.8792261884214088,-1.1501633177849562,7.051974038752326
-0.015,48.0,1.9,stretched,10.614995927135942,2.1441040392033983e-6,-2.258622610464392,ferromagnetic,unknown,0.9965040441705099,1.031407430757232e-7,0.5344468036875595,0.5225183635282857,0.6237819710589866,0.20689425420961277,0.03556550527567347,1.924626169260114e-5,17.557805422195553,-9.448069019388305,-3.6299012644201665,-1.6040415994297819,7.159377429487325
-0.015,55.0,1.9,stretched,10.315422323325631,0.04835706904703585,-2.959773664278585,ferromagnetic,unknown,0.9965933881128765,3.117732920224284e-8,0.40061972134062673,0.39038709171693714,0.6237451635771057,0.2068952295665554,0.03564320491443655,5.564316073074178e-6,16.74291761370305,-9.010375735429555,-3.0110874380792394,-2.408528429365352,7.43431331850383
-0.015,62.0,1.9,polar,9.991979026241799,0.026652487193963736,-3.2880655238398924,ferromagnetic,unknown,0.996309276172096,4.993917116831873e-9,0.44557606500532887,0.43316156118257676,0.6232650644542856,0.206771268785454,0.035844476837065646,5.0056972250932335e-6,16.3561424564939,-8.79971928397121,-2.7051029678025342,-3.0162185410488163,7.587117157322701
-0.015,75.0,1.9,stretched,9.166572547223087,0.040346404916107304,-4.7079912510530875,ferromagnetic,unknown,0.9982157210145597,1.1342234074132487e-12,0.6417359961164445,0.6591983154235997,0.6258201672685758,0.20730978306841613,0.03509739905083058,3.5983071407731495e-7,14.560619567829427,-7.848705254573015,-1.1304060720364864,-5.224287864355554,8.358067759618297
-0.015,100.0,1.9,polar,7.104077829383678,5.1040949244907097e-11,-5.82805306113038,ferromagnetic,unknown,0.9998624314989641,3.2777634918199994e-16,0.5289173421056012,0.5670163542466903,0.6283596980575691,0.2079316054067347,0.03413544477078322,2.065155846295596e-7,13.161448163108831,-7.106204283703656,0.30946188735454294,-8.622902478209358,9.145433288103536
-0.015,0.0,2.2,polar,12.073499790146826,0.1983257810664103,-1.1804258850771354e-11,ferromagnetic,unknown,0.996798274159116,0.0002132207674293946,0.527108326512022,0.5196736328595245,0.624258270866416,0.20703197493124273,0.03543564908873933,4.494111911703199e-5,20.30946824490642,-10.93199916363109,-5.03097055201217,-2.1804940874458607e-6,7.12328693593693
