c1_ratio,B_uG,kappa,gs_seed,E_gs,mF,coh,fluxclosure,chirality,inert,phase
0.0277777778,62.0,1.6,stretched,8.573220531710747,0.635725550310806,0.8934824989827235,0.5981254926971815,-5.238985703248517e-5,unknown,ferromagnetic_textured
0.0277777778,62.0,1.9,polar,9.669423653247923,0.6356772143927688,0.6804613746670916,0.36279587302147825,-0.04690575970908346,unknown,ferromagnetic_textured
0.0277777778,62.0,2.2,stretched,10.571702758129812,0.6230226694388976,0.49673038868856756,0.27602866820551103,-0.055704031911062026,unknown,ferromagnetic_textured
-0.015,75.0,1.0,polar,4.028926396885587,0.9999999999996448,0.9726446272594246,0.3412019993507707,-8.60056285804313e-6,FM,ferromagnetic
-0.015,75.0,1.3,polar,6.039407296314555,0.9999999999880167,0.9074566053922233,0.4700723298633922,-3.6269178094198156e-5,FM,ferromagnetic_textured
-0.015,75.0,1.6,stretched,7.729235541697629,0.9999999998834276,0.8296321837459644,0.5159305147328396,-0.00011328532778397897,FM,ferromagnetic_textured
-0.015,75.0,1.9,stretched,9.166572547223087,0.9994386340683726,0.28070810553466274,0.37595862330587193,-0.03244459552460691,unknown,flower
-0.015,75.0,2.2,polar,10.253245351380828,0.9992144054732166,0.21414306359108826,0.308766400019612,-0.03231753403313199,unknown,flower
0.0,75.0,1.0,polar,4.028901877993189,0.9999999999956969,0.9726475042276502,0.3411650550623092,-8.675157365391365e-6,FM,ferromagnetic
0.0,75.0,1.3,polar,6.038993026335784,0.9999999998382282,0.906722237162352,0.4695762951978484,-3.891527778565112e-5,FM,ferromagnetic_textured
0.0,75.0,1.6,polar,7.7256895738827795,0.9999999981298221,0.8205045467345016,0.5106269701084648,-0.000155972390789249,FM,ferromagnetic_textured
0.0,75.0,1.9,stretched,9.134058885333307,0.9951170791430557,0.2963958010541442,0.3765059519015879,-0.036301303635688245,unknown,flower
0.0,75.0,2.2,stretched,10.215665411893246,0.9947670496437192,0.2085303888210823,0.26959311341173287,-0.03139340495752492,unknown,flower
0.0277777778,75.0,1.0,stretched,4.0288624493016565,0.9999999998528465,0.9726196841447186,0.3411175839569899,-8.796387441950367e-6,FM,ferromagnetic
0.0277777778,75.0,1.3,polar,6.037775837566251,0.9999982438805936,0.9034436629158322,0.4682393356586078,-4.6265751848910866e-5,FM,ferromagnetic_textured
0.0277777778,75.0,1.6,polar,7.65694033248022,0.76799414334308,0.8608871025275827,0.5655945010154474,-6.559077891674519e-5,unknown,ferromagnetic_textured
0.0277777778,75.0,1.9,stretched,8.917512298877048,0.5037430839085352,0.8831877284335383,0.6738674520375161,-4.2986373160729664e-5,unknown,ferromagnetic_textured
0.0277777778,75.0,2.2,polar,9.942764506479339,0.5600879400572757,0.6715003852448935,0.4011787460483386,-0.03658010844268458,unknown,ferromagnetic_textured
-0.015,100.0,1.0,polar,1.8183340727387047,0.9999999999998859,0.9819205537993428,0.3428949128648573,-4.979538000918722e-6,FM,ferromagnetic
-0.015,100.0,1.3,stretched,3.8503062395970025,0.9999999999964321,0.9414780616875956,0.48297342941366134,-1.7315083938837156e-5,FM,ferromagnetic_textured
-0.015,100.0,1.6,polar,5.567099097495574,0.9999999999680683,0.8982555564061536,0.5481048615844171,-4.029342096976991e-5,FM,ferromagnetic_textured
-0.015,100.0,1.9,polar,7.104077829383678,0.9999999998425939,0.853778687512291,0.5887105400288594,-7.857241391738675e-5,FM,ferromagnetic_textured
-0.015,100.0,2.2,stretched,8.504646331449655,0.9999999982740536,0.6795085954449288,0.5774930677100965,-0.007553448934211925,FM,ferromagnetic_textured
0.0,100.0,1.0,polar,1.8183274226297799,0.9999999999989796,0.981927219179171,0.3428837561211694,-4.992215045402214e-6,FM,ferromagnetic
0.0,100.0,1.3,stretched,3.8502249756065163,0.9999999999647203,0.9414142392937825,0.4828907193313781,-1.761869647909136e-5,FM,ferromagnetic_textured
0.0,100.0,1.6,polar,5.566557940105325,0.9999999996434069,0.8972951388375974,0.547434937091353,-4.309833273121196e-5,FM,ferromagnetic_textured
0.0,100.0,1.9,polar,7.101669920853644,0.9999999979607606,0.8482556224287725,0.5850092374711793,-9.549387861832229e-5,FM,ferromagnetic_textured
0.0,100.0,2.2,polar,8.497695278708457,0.9999999805060374,0.666320072957898,0.570886528919313,-0.006808931588229018,FM,ferromagnetic_textured
