c1_ratio,B_uG,kappa,gs_seed,E_gs,sigma0,sigma2,sigma4,sigma6,sigma8,sigma10,sigma12,mF,coh,fluxclosure,abschir,absLz,absFz,Jz,spin_mod,kspin,dens_mod,kdens
0.0277777778,0.0,1.0,polar,8.62236385556497,0.02660582369223585,0.03695626960002668,0.04725632334530804,0.06689235387350981,0.10500350063618898,0.18989535032536267,0.5273903785273699,0.6529631453256727,0.49428123214773956,0.00138006055321645,2.6126303230223576e-9,6.288951223613907e-8,1.0804972199452425e-7,-1.7093923423066332e-7,0.042679186330103557,1.0471975511965976,0.001486082247898481,1.0471975511965976
0.0277777778,0.0,1.3,stretched,9.554699247557197,0.02106024556602904,0.02989443794469343,0.03991890506724682,0.0596658437442785,0.09926289312305149,0.1903105804260146,0.5598870941286865,0.6962916554671503,0.45314043271793797,0.0013807984571670734,3.5869879803216714e-11,7.199547733552555e-10,1.078453991935644e-9,-1.7984087652908995e-9,0.031436557804696424,1.0471975511965976,0.012087850974972726,1.0471975511965976
0.0277777778,0.0,1.6,stretched,10.373653236732588,0.01688961711255563,0.0244894502747834,0.034079786313343484,0.053560972468199936,0.09390225907469445,0.18967129931177362,0.5874066154446498,0.7297100913930222,0.4240379873878403,0.0013726593000531703,3.841548382514047e-11,1.0438166449253902e-9,7.37182404395271e-10,1.7809990493206612e-9,0.02402776387510138,1.0471975511965976,0.027203218412458804,1.0471975511965976
0.0277777778,0.0,1.9,stretched,11.114279934485223,0.013679845924670338,0.020256188027482695,0.029329766061739492,0.04831021979595357,0.08887754994522032,0.18829259960650513,0.6112538306384293,0.7564916171709685,0.4021170144848617,0.001354434951071128,5.204515400942876e-12,8.114793891949199e-11,4.0310412664826216e-11,-1.214583515843182e-10,0.019062757702668125,1.1708024551734542,0.04147007776092257,1.0471975511965976
0.0277777778,0.0,2.2,stretched,11.791239063068378,0.011133688622356416,0.016839123358904806,0.02535414602299493,0.043690563947358325,0.0841379148365558,0.18643382969177544,0.6324107335200546,0.7787529820690032,0.385027758276691,0.0013267817431630066,1.3013771984505601e-12,7.323681885234916e-12,1.8776919452341873e-13,-7.135912690711498e-12,0.023872341830793214,1.1708024551734542,0.05313168730212794,1.0471975511965976
-0.015,25.0,1.0,polar,8.336499724716834,4.107688081113087e-11,1.386311677688212e-10,9.759948600354897e-11,1.2835738297524871e-9,1.1461360052513284e-6,0.0009482492001960456,0.9990506031029118,0.9996963710892072,0.5181576563425229,0.1752606182650891,0.031746931853590975,0.13904196965185986,3.999534689484386,-4.138576659136246,0.03938884189332583,0.9068996821171088,0.005845270179699952,0.9068996821171088
-0.015,25.0,1.3,polar,9.556178917848667,2.548756575424216e-15,1.91352707126387e-12,8.550104185724767e-10,1.7987728479095822e-7,3.0296801758483215e-5,0.0047837943339188276,0.9951857281301134,0.9984528302628516,0.18348894090539705,0.12073085438162187,0.03190848830924688,0.12043618796266622,1.878665933078878,-1.9991021210415443,0.033359588875442436,1.0471975511965976,0.009649027686331009,1.0471975511965976
-0.015,25.0,1.6,stretched,10.44629601551224,1.4115252032873599e-15,8.800000402464866e-13,4.5981418607650217e-10,1.1403833812053387e-7,2.2534492256493927e-5,0.004141865034677801,0.9958354859740342,0.9986627743027298,0.179281423978011,0.12030781565311488,0.03504558790459462,0.39355659754782923,1.6037590238436816,-1.9973156213915109,0.02493426811448885,1.0471975511965976,0.025180737254707472,1.0471975511965976
-0.015,25.0,1.9,polar,11.205597916883724,2.8810917218739964e-15,1.7379092158899897e-12,4.573758284776177e-10,9.947011729437361e-8,1.9600363192224795e-5,0.0038031875940216005,0.9961771121135542,0.9987728271491556,0.17537828098142752,0.09195248570692109,0.009470490375870569,0.07749502650519174,1.0777111630750715,-1.0002161365698798,0.019653247540735972,1.0471975511965976,0.04178564920001925,1.0471975511965976
-0.015,25.0,2.2,polar,11.897534389508689,1.5452486086145503e-15,9.537292413329326e-13,2.8739942282203e-10,7.089061437874344e-8,1.5724119323721362e-5,0.0034147722854486586,0.9965694324162602,0.9988993354360263,0.17440567939333895,0.08970770482303562,0.010361475780188634,0.027888721284552866,0.9716963229300026,-0.9995850442145555,0.02261623656654185,1.1708024551734542,0.05402986421837969,1.0471975511965976
0.0,25.0,1.0,stretched,8.26713256420408,2.5870775011560403e-12,4.0428972615088153e-10,2.2577371639429295e-8,1.5981448359239839e-6,0.00011825840965007934,0.00921626068359238,0.9906638597776675,0.996981088796345,0.5427457055667742,0.16237143113413674,0.038211503644823896,0.056201954062670464,3.769085679847811,-3.8252876339104813,0.040164007219861346,0.9068996821171088,0.005821285752632994,0.9068996821171088
0.0,25.0,1.3,stretched,9.508665515171309,5.242662474124618e-10,6.39145721280117e-8,1.666113056891421e-6,3.9519465463281314e-5,0.0009404958986438799,0.02460341305632658,0.9744148410276708,0.9915230979023087,0.26038925598890333,0.11018034771920439,0.030819953909223142,0.07125488469414658,1.8484470629733032,-1.7771921782791567,0.028129181399314498,1.0471975511965976,0.008340479414382627,1.0471975511965976
0.0,25.0,1.6,stretched,10.368854590723005,2.0558461781953545e-10,8.697706962027712e-8,2.027696732917417e-6,4.681765122343071e-5,0.001087134226959586,0.02700915431935209,0.9718547789230797,0.99065518140927,0.19887771260423828,0.09243916008678073,0.01962011744607342,0.2035217219339929,1.2055601487292908,-1.002038426795298,0.02527289659870612,1.0471975511965976,0.02634722216736582,1.0471975511965976
0.0,25.0,1.9,stretched,11.132383533523985,1.180623142474531e-10,5.1357813884920505e-8,1.3628574316545593e-6,3.51004731542447e-5,0.0009024167485555361,0.02469857162473877,0.9743624968202453,0.9915186736470868,0.1965459599944377,0.09155383684603853,0.020364085895877144,0.0691608712358603,1.0693548311535799,-1.0001939599177196,0.019760307493532626,1.0471975511965976,0.0413297176284065,1.0471975511965976
0.0,25.0,2.2,polar,11.874372160478979,2.7711595641116455e-9,4.9556000366191855e-8,1.1853421407687858e-6,3.023484235948633e-5,0.0008035556681913049,0.023198934888227243,0.975966036931922,0.9920638873549342,0.18493443800102152,0.06628234300705842,0.017105149349230853,0.690102610331144,0.694106128146836,-0.004003517815692081,0.022701662452699663,1.1708024551734542,0.05451895915596033,1.0471975511965976
0.0277777778,25.0,1.0,polar,8.05291898955462,0.0042451810587117375,0.0069527044643676586,0.012367111321659435,0.026507116405660277,0.0640172046553949,0.17473006234277663,0.7111806197514244,0.8512742052063119,0.707031659427001,0.18309842700739548,0.0004257966478111812,0.02224877671945616,3.3200265894821874,-3.3422753662016436,0.04871620720852738,0.9068996821171088,0.005634243970685603,0.9068996821171088
0.0277777778,25.0,1.3,polar,9.222611085623509,1.140680056642197e-6,0.05029939708690049,0.043200211387769145,0.05172841277801638,0.1889765688999996,0.3313851402083301,0.3344091289589284,0.5472773069206427,0.5437290491608814,0.14580041373012378,0.10696850613350688,0.012822542823160338,1.9554653062722898,-1.9426427634491295,0.028193148456701653,1.0471975511965976,0.009681858113116636,1.0471975511965976
0.0277777778,25.0,1.6,stretched,10.125706145914968,2.9861343774887013e-6,0.03697591256951537,0.03720750138558372,0.05400351709227678,0.11283303069033397,0.2309994261782125,0.5279776259497025,0.6985359487136992,0.4450755998651147,0.11351632547516116,0.09579747672883851,0.021932994507956743,1.4371320540726218,-1.415199059564665,0.022918294122022106,1.0471975511965976,0.024680036706272095,1.0471975511965976
0.0277777778,25.0,1.9,polar,10.911908734623681,2.8043338825298444e-6,0.03188491159054309,0.033602207132101075,0.05133622198718963,0.09726423089956887,0.20391173467409263,0.5819978893826245,0.7382831164098027,0.41482544631747453,0.1028684279820117,0.08695773247206011,0.023005271844109852,1.1666218562884123,-1.1896271281325221,0.019236232604261775,1.1708024551734542,0.03952085969455843,1.0471975511965976
0.0277777778,25.0,2.2,polar,11.620949973016398,2.4096857031573494e-6,0.026563739071916843,0.029248229337408282,0.046915929919153186,0.08930189000364787,0.19465757301949244,0.6133102289626806,0.765880764838474,0.3945868031399917,0.09938398512934607,0.08126796407673975,0.08082444892628177,0.995042182950584,-1.0758666318768657,0.023628303469410226,1.1708024551734542,0.05185529727580446,1.0471975511965976
-0.015,40.0,1.0,stretched,7.11275318883608,2.280056609183794e-18,1.0168401648671018e-17,1.0303563200561102e-17,4.098407979144503e-18,6.407067613941625e-19,9.383186720835185e-12,0.9999999999906111,0.9999999999970027,0.9391372951965207,0.33590767551702105,2.788456701882377e-5,0.06900102325516527,5.930564411774044,-5.999565435029209,0.03894160831620433,0.9068996821171088,0.004795675112804882,1.0471975511965976
-0.015,40.0,1.3,stretched,8.93357566112627,8.755006379425777e-17,8.36266945396623e-15,6.911355877529308e-12,5.0071836186018316e-9,2.92147318927106e-6,0.001527856768498879,0.9984692167442026,0.9995101064823166,0.46423551559979426,0.2225192687092094,0.03154564240493576,0.20368646262942372,3.9595885504422568,-4.16327501307168,0.03443163775219537,1.1708024551734542,0.0023374427532237385,1.0471975511965976
-0.015,40.0,1.6,stretched,10.007131552519118,3.5349176165980266e-15,2.8399431907517937e-13,1.3226341391297986e-10,6.892099577906718e-8,1.8168831097368012e-5,0.0038533871524352903,0.996128374962922,0.9987576319702235,0.19121482454964692,0.1843222210485432,0.04200770051996351,0.3269798799054084,2.6847055932358015,-3.0116854731412097,0.02523528905217211,1.0471975511965976,0.01938362122045219,1.0471975511965976
