N0,T,cf
4.51545e+04,51.872,0.8598
9.27827e+04,45.172,0.9145
6.02680e+04,45.924,0.8938
2.85039e+05,48.860,0.9695
1.64097e+05,66.447,0.9772
2.50378e+05,57.816,0.9707
2.61603e+05,55.820,0.9721
1.84440e+05,49.924,0.9664
5.37867e+04,66.169,0.9411
6.08780e+04,53.877,0.9071
1.35641e+05,46.079,0.9664
2.61001e+05,52.205,0.9799
1.65365e+04,48.435,0.6735
1.60859e+05,57.431,0.9758
2.67922e+05,55.286,0.9789
6.38716e+04,45.616,0.9145
6.03533e+04,57.607,0.9112
2.12659e+05,43.935,0.9615
2.63212e+04,50.208,0.8306
7.76492e+04,56.965,0.9357
1.74158e+05,51.872,0.9681
1.55464e+05,61.751,0.9752
1.77085e+04,39.045,0.6294
2.52926e+04,61.010,0.8356
2.59739e+04,52.685,0.8185
3.95985e+04,51.745,0.8655
4.45686e+04,53.645,0.9040
2.77640e+05,52.604,0.9858
6.90028e+04,53.826,0.9330
1.62930e+05,47.687,0.9510
2.00165e+05,67.803,0.9853
1.75717e+04,48.961,0.6816
3.44004e+05,48.473,0.9845
2.15767e+05,60.170,0.9740
5.90188e+04,52.690,0.8993
1.14467e+05,43.095,0.9302
1.25386e+05,58.412,0.9676
4.59270e+04,51.645,0.9069
2.11919e+05,43.642,0.9741
1.06489e+05,50.436,0.9493
2.57994e+04,59.542,0.8102
1.95427e+05,42.112,0.9604
2.39554e+05,44.614,0.9749
2.16464e+05,44.544,0.9634
2.34080e+05,58.096,0.9792
1.09219e+05,63.945,0.9763
2.48802e+05,64.593,0.9852
1.76161e+05,60.813,0.9834
2.15491e+05,51.265,0.9658
5.32047e+04,59.087,0.9142
3.01460e+05,44.031,0.9795
2.38041e+05,57.958,0.9771
1.91393e+05,56.633,0.9753
1.12677e+05,43.092,0.9402
5.74571e+04,61.524,0.9211
2.06176e+05,42.472,0.9503
3.56406e+04,58.623,0.8816
2.97321e+05,62.318,0.9829
2.02610e+05,42.738,0.9694
3.44493e+04,52.644,0.8659
4.71034e+04,41.951,0.8494
2.59157e+05,50.037,0.9747
6.66134e+04,53.870,0.9210
4.31118e+04,65.063,0.9203
4.15386e+04,39.484,0.8458
1.06803e+05,56.314,0.9267
3.60318e+04,63.726,0.9049
2.38958e+05,44.923,0.9708
5.05622e+04,40.107,0.8735
1.22662e+05,56.421,0.9661
3.13714e+04,56.407,0.8150
1.14855e+05,55.922,0.9410
1.07706e+05,43.272,0.9229
4.34504e+04,54.900,0.8672
2.94252e+05,61.062,0.9849
1.61700e+05,48.733,0.9451
3.07724e+04,46.820,0.8579
2.66670e+04,60.085,0.8329
1.50688e+05,58.903,0.9606
1.93861e+05,43.989,0.9518
2.10100e+05,54.027,0.9729
3.79757e+04,50.384,0.8399
2.04743e+05,60.349,0.9805
5.46340e+04,51.678,0.8901
2.38523e+05,47.530,0.9746
1.23006e+05,40.662,0.9459
5.77781e+04,54.108,0.9225
5.98908e+04,49.111,0.9193
3.14025e+04,49.943,0.8089
6.72010e+04,34.848,0.8792
2.86238e+05,51.993,0.9840
2.13686e+05,66.967,0.9785
4.31623e+04,49.871,0.8823
2.99515e+05,57.532,0.9846
1.86946e+05,62.858,0.9786
3.36404e+05,58.813,0.9856
1.45826e+05,50.661,0.9589
1.29765e+05,49.601,0.9477
2.11775e+05,47.024,0.9634
1.85138e+05,56.875,0.9699
1.10599e+05,59.966,0.9648
9.19182e+04,38.255,0.8885
8.27071e+04,54.470,0.9275
1.15367e+05,47.446,0.9302
3.31287e+04,42.342,0.8082
2.69964e+05,55.437,0.9730
3.97152e+04,55.808,0.8678
2.89415e+05,44.610,0.9795
2.04895e+05,42.299,0.9510
1.35318e+05,54.014,0.9590
4.59812e+04,68.870,0.9119
1.50657e+05,51.953,0.9598
7.66380e+04,47.713,0.9031
9.67999e+04,48.437,0.9392
8.56997e+04,55.725,0.9420
2.51155e+04,64.365,0.8242
3.52031e+05,60.790,0.9862
1.69125e+05,56.013,0.9760
1.04782e+05,49.600,0.9139
1.48098e+05,51.363,0.9617
1.52452e+05,46.062,0.9593
7.44394e+04,49.680,0.9241
7.78731e+04,65.727,0.9255
1.35623e+05,42.634,0.9605
7.01403e+04,43.420,0.8906
1.38685e+05,46.951,0.9583
2.24958e+05,45.565,0.9768
1.77142e+05,64.721,0.9626
6.05831e+04,45.313,0.8997
2.29561e+05,50.579,0.9753
1.76763e+04,40.230,0.7147
3.63746e+04,37.216,0.8211
2.36213e+05,52.694,0.9729
3.27303e+05,46.973,0.9846
2.08175e+05,46.425,0.9608
1.35634e+05,41.711,0.9489
1.62918e+05,46.065,0.9592
5.92654e+04,46.708,0.8969
2.15680e+04,66.255,0.8433
1.22346e+05,50.625,0.9537
6.16721e+04,53.055,0.9116
1.52417e+04,57.811,0.6540
1.74203e+04,42.334,0.7151
