eps_pct,lab_NBEC,opt_NBEC
1.0,228998.03413416364,793322.314665907
1.0,229826.79760088658,806166.5280253533
1.0,229301.45845106195,807237.3984404197
1.0,228886.18139060665,796438.1835515487
1.0,226363.50872208417,794434.6968872101
1.0,229234.6522087965,792737.933235189
1.0,230820.28925775734,797010.775980298
1.0,229001.1926403882,790733.0179171573
1.0,226978.72840337348,788692.7967823927
1.0,229381.16146448595,787559.4829708651
1.0,234042.96533566606,802449.9278210399
1.0,229867.85448392527,799536.4987065714
1.0,228952.74896268858,805080.2808532218
1.0,229682.51381433982,793169.296195597
1.0,227395.36091614875,797963.6311253691
1.0,228833.13180683623,801446.3676558301
1.0,227281.5663901837,793184.3495807745
1.0,228960.06251711992,793791.1365180559
1.0,228067.35768430136,792737.7555020053
1.0,228331.74774276005,794051.0758496687
1.0,231713.81718873678,794672.3541008071
1.0,229717.9955697224,788497.8488008765
1.0,229618.39753087016,795260.7597005765
1.0,227212.17011243023,788064.2285350856
1.0,228534.6102016345,798196.4767742248
1.0,227983.13231822485,801972.020923604
1.0,226483.08694547063,792620.1345791119
1.0,225620.18138465282,790704.43589704
1.0,227909.26668405544,796143.4604860938
1.0,228769.0623947812,796500.4275142582
1.0,232364.61964274925,807424.2303259805
1.0,224459.54456030496,783740.081673062
1.0,229494.9268425467,805422.2210565517
1.0,227197.48069941395,796418.5526100607
1.0,230475.51796927635,797172.3619063963
1.0,228211.4716223022,801046.8852768695
1.0,230193.99789520208,805574.0318125759
1.0,230821.67549150824,805622.2600033457
1.0,229677.03021520068,789390.3970089281
1.0,227139.82322164744,796119.9190747457
1.0,226079.6586442368,793417.4634753051
1.0,230347.57725894375,797258.0746992376
1.0,231345.65408158375,797282.6911535625
1.0,230507.65044874407,810416.9186507647
1.0,228405.44797833118,802395.6119288837
1.0,226753.1598115312,782742.1347451083
1.0,228575.78759041452,797061.8570893527
1.0,228782.46527883434,790825.5577938424
1.0,227540.2018320237,790212.6736918122
1.0,227311.69474114082,789698.3616064301
1.0,232886.09894031606,804127.1524823543
1.0,231212.82832234818,803737.914642344
1.0,230829.07288551275,797436.6607541619
1.0,228695.73274313338,803368.1167840813
1.0,227347.2329690325,793003.22105385
1.0,228654.2240230882,800535.5929393524
1.0,229868.38025894985,792069.8357813973
1.0,230256.99279546388,803644.8780019141
