panel_idx,F,label,ref,point_idx,x,y,z
8,10,F=10 dodec,I:A (§V.F),6,-0.7946544722917663,-0.5773502691896256,-0.1875924740850794
8,10,F=10 dodec,I:A (§V.F),7,-0.3035309991033455,0.9341723589627149,0.18759247408507992
8,10,F=10 dodec,I:A (§V.F),8,-0.303530999103345,-0.9341723589627149,0.18759247408508012
8,10,F=10 dodec,I:A (§V.F),9,-0.49112347318842325,0.35682208977309016,-0.7946544722917658
8,10,F=10 dodec,I:A (§V.F),10,-0.49112347318842325,-0.35682208977309,-0.794654472291766
8,10,F=10 dodec,I:A (§V.F),11,0.18759247408507962,-0.5773502691896254,-0.7946544722917664
8,10,F=10 dodec,I:A (§V.F),12,0.18759247408507965,0.5773502691896254,-0.7946544722917664
8,10,F=10 dodec,I:A (§V.F),13,0.3035309991033426,0.9341723589627154,-0.1875924740850811
8,10,F=10 dodec,I:A (§V.F),14,0.30353099910334347,-0.9341723589627152,-0.1875924740850811
8,10,F=10 dodec,I:A (§V.F),15,0.607061998206686,0.0,-0.7946544722917662
8,10,F=10 dodec,I:A (§V.F),16,0.9822469463768453,-6.263107131220712e-16,-0.18759247408508387
8,10,F=10 dodec,I:A (§V.F),17,0.7946544722917658,-0.5773502691896262,0.18759247408507979
8,10,F=10 dodec,I:A (§V.F),18,0.7946544722917651,0.5773502691896267,0.18759247408508098
8,10,F=10 dodec,I:A (§V.F),19,0.49112347318842337,0.3568220897730906,0.7946544722917656
8,10,F=10 dodec,I:A (§V.F),20,0.49112347318842337,-0.35682208977309005,0.7946544722917658
9,11,F=11 octa,O:A_2 (supp),1,-0.5773510176495638,-0.5773480793301582,0.5773517105827177
9,11,F=11 octa,O:A_2 (supp),2,-0.5773524590517508,0.5773495207182391,0.5773488277924501
9,11,F=11 octa,O:A_2 (supp),3,-0.5773480793250204,0.577351017661342,0.5773517105760775
9,11,F=11 octa,O:A_2 (supp),4,-0.5773495207300163,-0.5773524590466116,0.577348827785812
9,11,F=11 octa,O:A_2 (supp),5,-1.0,8.823333042339669e-16,-1.5543122344752215e-15
9,11,F=11 octa,O:A_2 (supp),6,-0.5773524590401282,-0.5773495207379352,-0.5773488277843764
9,11,F=11 octa,O:A_2 (supp),7,-0.5773510176506199,0.5773480793307276,-0.5773517105810926
9,11,F=11 octa,O:A_2 (supp),8,-0.57734952072896,0.5773524590460428,-0.5773488277874372
9,11,F=11 octa,O:A_2 (supp),9,-0.5773480793366421,-0.5773510176416445,-0.5773517105841535
9,11,F=11 octa,O:A_2 (supp),10,-3.275008864667675e-16,-1.0,-1.1102230246251577e-15
9,11,F=11 octa,O:A_2 (supp),11,0.0,0.0,-1.0
9,11,F=11 octa,O:A_2 (supp),12,3.624494708467333e-16,1.0,6.661338147750935e-16
9,11,F=11 octa,O:A_2 (supp),13,0.5773480793327449,0.5773510176510622,-0.5773517105786328
9,11,F=11 octa,O:A_2 (supp),14,0.5773495207282071,-0.5773524590448159,-0.577348827789417
9,11,F=11 octa,O:A_2 (supp),15,0.5773510176513729,-0.577348079331954,-0.577351710579113
9,11,F=11 octa,O:A_2 (supp),16,0.5773524590440251,0.5773495207285169,-0.5773488277898979
9,11,F=11 octa,O:A_2 (supp),17,1.0,-1.4671913652238342e-16,1.332267629550186e-15
9,11,F=11 octa,O:A_2 (supp),18,0.577349520721599,0.5773524590426138,0.5773488277982272
9,11,F=11 octa,O:A_2 (supp),19,0.5773480793189327,-0.5773510176639453,0.5773517105795618
9,11,F=11 octa,O:A_2 (supp),20,0.5773524590578373,-0.5773495207156344,0.577348827788968
9,11,F=11 octa,O:A_2 (supp),21,0.5773510176579822,0.5773480793341552,0.5773517105703022
9,11,F=11 octa,O:A_2 (supp),22,0.0,0.0,1.0
10,12,F=12 I:A,I:A (§V.G),1,-0.7267465499202084,-0.5214186692860076,0.44717113446541135
10,12,F=12 I:A,I:A (§V.G),2,-0.7267465499202068,0.5214186692860093,0.44717113446541185
10,12,F=12 I:A,I:A (§V.G),3,-0.7204756576711079,-0.5300498120028847,0.4471711344654207
10,12,F=12 I:A,I:A (§V.G),4,-0.7204756576711092,0.5300498120028848,0.4471711344654181
10,12,F=12 I:A,I:A (§V.G),5,-0.8944325135650919,0.0053343395607632,-0.4471711344654105
10,12,F=12 I:A,I:A (§V.G),6,-0.8944325135650885,-0.005334339560763168,-0.44717113446541723
10,12,F=12 I:A,I:A (§V.G),7,-0.28146810541253636,-0.8490074688342891,-0.44717113446539786
10,12,F=12 I:A,I:A (§V.G),8,-0.2814681054125323,0.8490074688342928,-0.4471711344653935
10,12,F=12 I:A,I:A (§V.G),9,-0.27132158861369504,0.8523042719903717,-0.4471711344654339
10,12,F=12 I:A,I:A (§V.G),10,-0.27132158861369077,-0.852304271990374,-0.44717113446543216
10,12,F=12 I:A,I:A (§V.G),11,0.0,0.0,-1.0
10,12,F=12 I:A,I:A (§V.G),12,0.0,0.0,-1.0
10,12,F=12 I:A,I:A (§V.G),13,0.2713215886136859,-0.8523042719903821,0.44717113446542006
10,12,F=12 I:A,I:A (§V.G),14,0.2713215886136882,0.852304271990382,0.4471711344654187
10,12,F=12 I:A,I:A (§V.G),15,0.7204756576711064,-0.5300498120028856,-0.44717113446542167
10,12,F=12 I:A,I:A (§V.G),16,0.7204756576711078,0.5300498120028856,-0.4471711344654198
10,12,F=12 I:A,I:A (§V.G),17,0.7267465499202089,0.5214186692860107,-0.4471711344654072
10,12,F=12 I:A,I:A (§V.G),18,0.7267465499202106,-0.5214186692860104,-0.44717113446540474
10,12,F=12 I:A,I:A (§V.G),19,0.2814681054125394,0.8490074688342816,0.4471711344654103
10,12,F=12 I:A,I:A (§V.G),20,0.2814681054125423,-0.8490074688342817,0.4471711344654082
10,12,F=12 I:A,I:A (§V.G),21,0.8944325135650901,-0.0053343395607969215,0.4471711344654136
10,12,F=12 I:A,I:A (§V.G),22,0.8944325135650898,0.0053343395607966465,0.4471711344654143
10,12,F=12 I:A,I:A (§V.G),23,0.0,0.0,1.0
10,12,F=12 I:A,I:A (§V.G),24,0.0,0.0,1.0
