Omega,frame,t,norm,Fz,Lz,peak,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
-0.5000,40,3.940000e+00,9.985169e-01,4.064793e+00,,NaN,2.265706e-01,2.758472e-01,1.959868e-01,1.198985e-01,8.176454e-02,5.247382e-02,2.822943e-02,1.288151e-02,4.759799e-03,1.309064e-03,2.482138e-04,2.895323e-05,1.556473e-06
-0.5000,41,4.040000e+00,9.984840e-01,3.991783e+00,,1.090543e-02,2.132021e-01,2.720764e-01,1.998155e-01,1.224980e-01,8.392260e-02,5.555253e-02,3.087610e-02,1.454139e-02,5.574108e-03,1.590373e-03,3.113382e-04,3.740223e-05,2.074197e-06
-0.5000,42,4.140000e+00,9.984504e-01,3.918294e+00,,NaN,2.002833e-01,2.677815e-01,2.036972e-01,1.252816e-01,8.577566e-02,5.844474e-02,3.357739e-02,1.631101e-02,6.485603e-03,1.922314e-03,3.889272e-04,4.808836e-05,2.746589e-06
-0.5000,43,4.240000e+00,9.984158e-01,3.844477e+00,,NaN,1.878471e-01,2.629464e-01,2.075743e-01,1.283459e-01,8.735594e-02,6.108882e-02,3.630383e-02,1.818153e-02,7.495529e-03,2.311320e-03,4.841571e-04,6.162224e-05,3.620572e-06
-0.5000,44,4.340000e+00,9.983798e-01,3.770458e+00,,NaN,1.759285e-01,2.575648e-01,2.113517e-01,1.317793e-01,8.873529e-02,6.342844e-02,3.901910e-02,2.014293e-02,8.602425e-03,2.763131e-03,6.006778e-04,7.878859e-05,4.759404e-06
-0.5000,45,4.440000e+00,9.983421e-01,3.696326e+00,,NaN,1.645621e-01,2.516483e-01,2.149036e-01,1.356378e-01,9.002304e-02,6.542479e-02,4.168054e-02,2.218512e-02,9.803009e-03,3.282341e-03,7.425032e-04,1.005756e-04,6.248067e-06
-0.5000,46,4.540000e+00,9.983025e-01,3.622126e+00,,NaN,1.537789e-01,2.452298e-01,2.180901e-01,1.399287e-01,9.134980e-02,6.706566e-02,4.424189e-02,2.429871e-02,1.109385e-02,3.872315e-03,9.138887e-04,1.281998e-04,8.199377e-06
-0.5000,47,4.640000e+00,9.982606e-01,3.547877e+00,,NaN,1.436053e-01,2.383629e-01,2.207755e-01,1.446099e-01,9.284796e-02,6.836744e-02,4.665552e-02,2.647427e-02,1.247271e-02,4.535350e-03,1.119236e-03,1.631390e-04,1.076180e-05
-0.5000,48,4.740000e+00,9.982161e-01,3.473617e+00,,NaN,1.340629e-01,2.311210e-01,2.228428e-01,1.495974e-01,9.463639e-02,6.937246e-02,4.887277e-02,2.869902e-02,1.393845e-02,5.272574e-03,1.362940e-03,2.071790e-04,1.413191e-05
-0.5000,49,4.840000e+00,9.981687e-01,3.399488e+00,,NaN,1.251742e-01,2.235994e-01,2.242030e-01,1.547704e-01,9.680757e-02,7.014572e-02,5.084465e-02,3.095212e-02,1.548965e-02,6.083334e-03,1.648961e-03,2.624384e-04,1.857306e-05
-0.5000,50,4.940000e+00,9.981183e-01,3.325780e+00,,NaN,1.169659e-01,2.159142e-01,2.248003e-01,1.599787e-01,9.941771e-02,7.077364e-02,5.252591e-02,3.320026e-02,1.712287e-02,6.964634e-03,1.980078e-03,3.312998e-04,2.443715e-05
-0.5000,51,5.040000e+00,9.980651e-01,3.252904e+00,,1.342827e-02,1.094656e-01,2.081966e-01,2.246086e-01,1.650517e-01,1.024840e-01,7.136712e-02,5.388495e-02,3.539437e-02,1.883033e-02,7.911265e-03,2.357074e-03,4.161999e-04,3.218197e-05
