K3_m6_s,timing_strength,decompress_factor,N0_final
9.999999999999999e-43,0.5454545454545454,1.0,70708.70517050479
9.999999999999999e-43,0.6363636363636364,0.1,76546.22012108585
9.999999999999999e-43,0.6363636363636364,0.18181818181818182,76083.86543362711
9.999999999999999e-43,0.6363636363636364,0.2636363636363636,75598.75390963703
9.999999999999999e-43,0.6363636363636364,0.34545454545454546,75104.65168997637
9.999999999999999e-43,0.6363636363636364,0.42727272727272725,74624.00120933529
9.999999999999999e-43,0.6363636363636364,0.509090909090909,74141.64000458676
9.999999999999999e-43,0.6363636363636364,0.5909090909090909,73676.06023941572
9.999999999999999e-43,0.6363636363636364,0.6727272727272727,73240.30647032097
9.999999999999999e-43,0.6363636363636364,0.7545454545454545,72843.23793755141
9.999999999999999e-43,0.6363636363636364,0.8363636363636363,72523.30599646916
9.999999999999999e-43,0.6363636363636364,0.9181818181818182,72274.45736086353
9.999999999999999e-43,0.6363636363636364,1.0,71936.14749126016
9.999999999999999e-43,0.7272727272727273,0.1,78211.9818538042
9.999999999999999e-43,0.7272727272727273,0.18181818181818182,77736.30344024302
9.999999999999999e-43,0.7272727272727273,0.2636363636363636,77235.8087476132
9.999999999999999e-43,0.7272727272727273,0.34545454545454546,76751.36031339919
9.999999999999999e-43,0.7272727272727273,0.42727272727272725,76260.11620072342
9.999999999999999e-43,0.7272727272727273,0.509090909090909,75786.52608650699
9.999999999999999e-43,0.7272727272727273,0.5909090909090909,75328.90292527029
9.999999999999999e-43,0.7272727272727273,0.6727272727272727,74899.61013721212
9.999999999999999e-43,0.7272727272727273,0.7545454545454545,74514.86990627593
9.999999999999999e-43,0.7272727272727273,0.8363636363636363,74205.57137057581
9.999999999999999e-43,0.7272727272727273,0.9181818181818182,73869.11999116263
9.999999999999999e-43,0.7272727272727273,1.0,73463.75562746375
9.999999999999999e-43,0.8181818181818182,0.1,80225.46343224277
9.999999999999999e-43,0.8181818181818182,0.18181818181818182,79725.89495622685
9.999999999999999e-43,0.8181818181818182,0.2636363636363636,79231.34387931785
9.999999999999999e-43,0.8181818181818182,0.34545454545454546,78720.68578325985
9.999999999999999e-43,0.8181818181818182,0.42727272727272725,78202.86667956885
9.999999999999999e-43,0.8181818181818182,0.509090909090909,77721.32427606461
9.999999999999999e-43,0.8181818181818182,0.5909090909090909,77247.07471294513
9.999999999999999e-43,0.8181818181818182,0.6727272727272727,76793.53596465448
9.999999999999999e-43,0.8181818181818182,0.7545454545454545,76374.85645024883
9.999999999999999e-43,0.8181818181818182,0.8363636363636363,76017.88333749548
