t_s,nu_Hz,T_K,T_ideal_K,T_over_Tc,cond_frac
0.030133333333187462,133.31706545773866,1.33161814819115e-7,1.4550350561656162e-7,0.7899346522619153,0.5070559938489596
0.031866666666520604,132.6829130888377,1.3208158948989018e-7,1.4481138572588347e-7,0.7890328175990775,0.5086550960580273
0.03359999999985375,132.04571522475513,1.3102848204544303e-7,1.4411594195297217e-7,0.7882199140295568,0.5101181799440395
0.03533333333318689,131.40542756178,1.3000533012579507e-7,1.4341712594433858e-7,0.7875203800943393,0.5114014113356421
0.03706666666652003,130.76200471150358,1.2901106482744778e-7,1.4271488816264442e-7,0.786934911031369,0.5125053369102592
0.038799999999853174,130.11540016327183,1.2804380705542295e-7,1.420091778457221e-7,0.7864587600100312,0.5134405357213326
0.04053333333318632,129.4655662449496,1.2709740974660154e-7,1.412999429637527e-7,0.7860602956879836,0.5142673163471192
0.04226666666651946,128.81245408190355,1.2629243042078122e-7,1.4058713017449925e-7,0.7863799599248311,0.5136281970851919
0.0439999999998526,128.15601355410362,1.256453627942353e-7,1.3987068477648708e-7,0.7875458424918718,0.5113794463688004
0.045733333333185744,127.49619325123659,1.2499832030227614e-7,1.3915055066001446e-7,0.7887061495765079,0.5091721150797051
0.047466666666518886,126.83294042571804,1.2435119293541925e-7,1.3842667025586895e-7,0.7898625627811797,0.507004866522047
0.04919999999985203,126.16620094348097,1.237039730649634e-7,1.3769898448161813e-7,0.7910164288712571,0.5048770120901003
0.05093333333318517,125.49591923241127,1.2305443920648132e-7,1.3696743268533122e-7,0.7921548709474676,0.5028146762814866
0.052666666666518314,124.8220382282911,1.2239774063281735e-7,1.362319525865814e-7,0.7932477744060722,0.5008329475221364
0.054399999999851456,124.14449931810127,1.2173378949395266e-7,1.354924802145654e-7,0.794294418760259,0.4987332819329225
0.0561333333331846,123.46324228052299,1.2106357621579867e-7,1.347489498431666e-7,0.7953015562385246,0.4967465372561837
0.05786666666651774,122.77820522346869,1.2039243094768032e-7,1.3400129392277544e-7,0.796305199799658,0.49480679339277356
0.05959999999985088,122.08932451845769,1.1972119858888252e-7,1.332494430086666e-7,0.7973123102301015,0.4929029075516147
0.061333333333184026,121.3965347316403,1.190497188519014e-7,1.324933256857179e-7,0.7983232723213305,0.4910362590485605
0.06306666666651717,120.69976855125871,1.1837234907579996e-7,1.3173286848924054e-7,0.7993015455241982,0.48927908730725533
0.06479999999985031,119.99895671131686,1.1768687031732867e-7,1.3096799582167153e-7,0.8002327431290328,0.48745537862625293
0.06653333333318345,119.2940279112143,1.1699332966031366e-7,1.301986298648615e-7,0.801116751023516,0.48563354271684556
0.0682666666665166,118.58490873108032,1.162954789768834e-7,1.2942469048766942e-7,0.8019799856526524,0.4839004824682505
0.06999999999984974,117.87152354252373,1.155975235634189e-7,1.286460951485542e-7,0.8028526563103385,0.48220051618390697
0.07173333333318288,117.15379441449093,1.148994879484433e-7,1.2786275879282713e-7,0.8037365201082974,0.48053270948668786
0.07346666666651602,116.43164101390086,1.1419922782059225e-7,1.2707459374420412e-7,0.8046181126520058,0.4789257832616413
0.07519999999984917,115.70498050069821,1.1349023347127372e-7,1.2628150959026561e-7,0.8054527885772234,0.4774480784887497
0.07693333333318231,114.97372741693655,1.1277214269040534e-7,1.2548341306140097e-7,0.8062377690711617,0.4757391455253712
0.07866666666651545,114.23779356947118,1.1204581236595038e-7,1.2468020790277826e-7,0.8069791480379711,0.47417367621922885
0.08039999999984859,113.4970879058057,1.1131784471222275e-7,1.2387179473884215e-7,0.8077254848825874,0.47266013009229185
0.08213333333318174,112.75151638259797,1.1058980231505395e-7,1.2305807092979993e-7,0.8084897641744553,0.47117613476193987
0.08386666666651488,112.0009818262873,1.098615657243756e-7,1.2223893041950874e-7,0.8092729629662876,0.46972287793756956
0.08559999999984802,111.24538378525831,1.0912675271451161e-7,1.2141426357412595e-7,0.810029699112751,0.46839297116448214
0.08733333333318116,110.48461837290515,1.0838156251914306e-7,1.2058395701082777e-7,0.8107325195884292,0.4669952696481792
0.0890666666665143,109.71857810090123,1.0762606593649323e-7,1.197478934158384e-7,0.8113812763639497,0.46552943034807565
0.09079999999984745,108.94715170191756,1.0686414513286309e-7,1.1890595135094297e-7,0.8120058555143512,0.4641852961124064
