T0_uK,K3_m6_s,value
27.692307692307693,4.044795338205457e-40,0.0
27.692307692307693,5.0118723362727555e-40,0.0
30.25641025641026,9.999999999999999e-43,113789.09744572274
30.25641025641026,1.2390917011134509e-42,100919.65812097721
30.25641025641026,1.5353482437682257e-42,89861.77006508748
30.25641025641026,1.90243726717232e-42,80088.02453115332
30.25641025641026,2.3572942296421748e-42,71450.73914949458
30.25641025641026,2.920903717032244e-42,63870.28119316077
30.25641025641026,3.619267555526085e-42,57239.3662714797
30.25641025641026,4.484604392161538e-42,51460.17128003259
30.25641025641026,5.556836085104294e-42,46396.57295137005
30.25641025641026,6.885429477500488e-42,41955.947581104396
30.25641025641026,8.53167852417278e-42,38051.34862684982
30.25641025641026,1.0571532055870346e-41,34605.62949542628
30.25641025641026,1.3099097638483763e-41,31553.02395593543
30.25641025641026,1.6230983175920034e-41,28836.687383300065
30.25641025641026,2.0111676554194557e-41,26407.714210242237
30.25641025641026,2.492021151378044e-41,24228.348130457947
30.25641025641026,3.087842727671721e-41,22262.409591013682
30.25641025641026,3.8261202982015517e-41,20484.3048896361
30.25641025641026,4.740913908963265e-41,18871.5574803535
30.25641025641026,5.874427080289712e-41,17445.749750858453
30.25641025641026,7.278953843983101e-41,16191.89032709941
30.25641025641026,9.019291300867314e-41,15075.268282701623
30.25641025641026,1.117572900082943e-40,14028.797682344422
30.25641025641026,1.3847753058820664e-40,12913.20534393754
30.25641025641026,1.7158635894253092e-40,11329.003870566286
30.25641025641026,2.126112333899673e-40,8479.970534731578
30.25641025641026,2.634448148570035e-40,2328.777891712012
30.25641025641026,3.2643228379068263e-40,0.0
30.25641025641026,4.044795338205457e-40,0.0
30.25641025641026,5.0118723362727555e-40,0.0
32.820512820512825,9.999999999999999e-43,113813.22822807131
32.820512820512825,1.2390917011134509e-42,100929.34238128086
32.820512820512825,1.5353482437682257e-42,89897.55266238534
32.820512820512825,1.90243726717232e-42,80112.61444287209
32.820512820512825,2.3572942296421748e-42,71464.63160945881
32.820512820512825,2.920903717032244e-42,63874.49877974163
32.820512820512825,3.619267555526085e-42,57259.066024134496
32.820512820512825,4.484604392161538e-42,51470.38150576991
32.820512820512825,5.556836085104294e-42,46404.40508288985
32.820512820512825,6.885429477500488e-42,41962.612701806516
32.820512820512825,8.53167852417278e-42,38056.84301338041
32.820512820512825,1.0571532055870346e-41,34611.192762883176
32.820512820512825,1.3099097638483763e-41,31558.711449008206
32.820512820512825,1.6230983175920034e-41,28841.740732763225
32.820512820512825,2.0111676554194557e-41,26413.44616175748
32.820512820512825,2.492021151378044e-41,24232.770021965276
32.820512820512825,3.087842727671721e-41,22269.29199866463
32.820512820512825,3.8261202982015517e-41,20489.741975769757
32.820512820512825,4.740913908963265e-41,18876.67598091416
32.820512820512825,5.874427080289712e-41,17452.032636656266
32.820512820512825,7.278953843983101e-41,16199.706830042782
32.820512820512825,9.019291300867314e-41,15081.708415001656
32.820512820512825,1.117572900082943e-40,14035.739442128675
32.820512820512825,1.3847753058820664e-40,12906.925700070437
32.820512820512825,1.7158635894253092e-40,11320.970849723868
32.820512820512825,2.126112333899673e-40,8466.095708201214
32.820512820512825,2.634448148570035e-40,2308.0730144774243
32.820512820512825,3.2643228379068263e-40,0.0
32.820512820512825,4.044795338205457e-40,0.0
32.820512820512825,5.0118723362727555e-40,0.0
35.38461538461538,9.999999999999999e-43,113840.44764143882
35.38461538461538,1.2390917011134509e-42,100997.23351368126
35.38461538461538,1.5353482437682257e-42,90003.1298855191
35.38461538461538,1.90243726717232e-42,80163.27400426271
35.38461538461538,2.3572942296421748e-42,71496.11524183402
35.38461538461538,2.920903717032244e-42,63913.41459439463
35.38461538461538,3.619267555526085e-42,57280.1424148554
35.38461538461538,4.484604392161538e-42,51484.822559968816
35.38461538461538,5.556836085104294e-42,46415.78264670889
35.38461538461538,6.885429477500488e-42,41972.72836214526
35.38461538461538,8.53167852417278e-42,38065.904648224
35.38461538461538,1.0571532055870346e-41,34619.411055301454
35.38461538461538,1.3099097638483763e-41,31566.25427249327
35.38461538461538,1.6230983175920034e-41,28849.171056329786
35.38461538461538,2.0111676554194557e-41,26420.4358943763
35.38461538461538,2.492021151378044e-41,24240.747106473937
35.38461538461538,3.087842727671721e-41,22276.15458010529
35.38461538461538,3.8261202982015517e-41,20498.040140862628
35.38461538461538,4.740913908963265e-41,18888.182705848747
35.38461538461538,5.874427080289712e-41,17463.900514257846
35.38461538461538,7.278953843983101e-41,16206.696985614879
35.38461538461538,9.019291300867314e-41,15091.621326068354
35.38461538461538,1.117572900082943e-40,14035.265167238658
35.38461538461538,1.3847753058820664e-40,12907.80634588913
35.38461538461538,1.7158635894253092e-40,11310.117180410303
35.38461538461538,2.126112333899673e-40,8438.668478053027
35.38461538461538,2.634448148570035e-40,2229.051529766126
35.38461538461538,3.2643228379068263e-40,0.0
35.38461538461538,4.044795338205457e-40,0.0
35.38461538461538,5.0118723362727555e-40,0.0
37.94871794871795,9.999999999999999e-43,114245.76216489456
37.94871794871795,1.2390917011134509e-42,101503.9548435049
37.94871794871795,1.5353482437682257e-42,90205.09747691233
37.94871794871795,1.90243726717232e-42,80263.21800787082
37.94871794871795,2.3572942296421748e-42,71555.4916663034
37.94871794871795,2.920903717032244e-42,63947.80538344616
37.94871794871795,3.619267555526085e-42,57307.18590548804
37.94871794871795,4.484604392161538e-42,51507.37775350701
37.94871794871795,5.556836085104294e-42,46434.4290723423
37.94871794871795,6.885429477500488e-42,41988.68372289554
37.94871794871795,8.53167852417278e-42,38079.80064001435
37.94871794871795,1.0571532055870346e-41,34632.21463333048
37.94871794871795,1.3099097638483763e-41,31578.504798946076
37.94871794871795,1.6230983175920034e-41,28861.185986255077
37.94871794871795,2.0111676554194557e-41,26432.52385268809
37.94871794871795,2.492021151378044e-41,24253.78446098369
37.94871794871795,3.087842727671721e-41,22289.841127043448
37.94871794871795,3.8261202982015517e-41,20510.71614053347
37.94871794871795,4.740913908963265e-41,18901.312892151014
37.94871794871795,5.874427080289712e-41,17479.106911861065
37.94871794871795,7.278953843983101e-41,16222.586930684582
37.94871794871795,9.019291300867314e-41,15099.670472016154
37.94871794871795,1.117572900082943e-40,14043.128456369242
37.94871794871795,1.3847753058820664e-40,12909.29352607246
37.94871794871795,1.7158635894253092e-40,11291.6187639916
37.94871794871795,2.126112333899673e-40,8394.150910491073
37.94871794871795,2.634448148570035e-40,2160.9238282422557
37.94871794871795,3.2643228379068263e-40,0.0
37.94871794871795,4.044795338205457e-40,0.0
37.94871794871795,5.0118723362727555e-40,0.0
40.51282051282051,9.999999999999999e-43,113707.10357956399
40.51282051282051,1.2390917011134509e-42,101234.17146697835
40.51282051282051,1.5353482437682257e-42,90095.80455931759
40.51282051282051,1.90243726717232e-42,80241.15245393211
40.51282051282051,2.3572942296421748e-42,71575.18852656911
40.51282051282051,2.920903717032244e-42,63983.302432232915
40.51282051282051,3.619267555526085e-42,57345.776215799924
40.51282051282051,4.484604392161538e-42,51542.42753791254
40.51282051282051,5.556836085104294e-42,46466.24274460403
40.51282051282051,6.885429477500488e-42,42015.48927930251
40.51282051282051,8.53167852417278e-42,38103.16521089664
40.51282051282051,1.0571532055870346e-41,34652.9220757354
40.51282051282051,1.3099097638483763e-41,31597.675843458775
40.51282051282051,1.6230983175920034e-41,28879.88621791669
40.51282051282051,2.0111676554194557e-41,26451.929872204393
40.51282051282051,2.492021151378044e-41,24272.94988050098
40.51282051282051,3.087842727671721e-41,22309.9496696282
40.51282051282051,3.8261202982015517e-41,20531.007994370288
40.51282051282051,4.740913908963265e-41,18922.018540807177
40.51282051282051,5.874427080289712e-41,17499.703132665403
40.51282051282051,7.278953843983101e-41,16243.627327564047
40.51282051282051,9.019291300867314e-41,15119.062931582677
40.51282051282051,1.117572900082943e-40,14057.757425662348
