nu_Hz,N0,value
19.831932773109244,11015.819387358995,17.72060280576547
19.831932773109244,11902.282447787144,16.65665286983636
19.831932773109244,12860.08080610565,15.656582784867803
19.831932773109244,13894.954943731389,14.716557186787716
19.831932773109244,15013.107289081743,13.832970987852903
19.831932773109244,16221.239391291729,13.002435550793901
19.831932773109244,17526.592085367585,12.221765693068258
19.831932773109244,18936.988889503602,11.487967471381925
19.831932773109244,20460.88289466011,10.798226699631437
19.831932773109244,22107.407427431233,10.149898156232057
19.831932773109244,23886.430789846003,9.540495439440907
19.831932773109244,25808.615404180768,8.967681431769417
19.831932773109244,27885.481717262915,8.429259336914974
19.831932773109244,30129.47724726992,7.92316425483782
19.831932773109244,32554.05118685032,7.4474552626726185
19.831932773109244,35173.7350096938,7.000307971104328
19.831932773109244,38004.22956365882,6.580007527661327
19.831932773109244,41062.49917244294,6.184942040092778
19.831932773109244,44366.873309786155,5.813596394608237
19.831932773109244,47937.15645558219,5.464546445271938
19.831932773109244,51794.74679231213,5.136453552267351
19.831932773109244,55962.76445319552,4.828059448085994
19.831932773109244,60466.19009070435,4.538181411951594
19.831932773109244,65332.014595937704,4.265707733973234
19.831932773109244,70589.40086618738,4.009593451631973
19.831932773109244,76269.85859023452,3.7688563422500163
19.831932773109244,82407.43309893666,3.542573156073175
19.831932773109244,89038.90941296735,3.329876075520026
19.831932773109244,96204.0327106476,3.129949387018846
19.831932773109244,103945.74653722627,2.94202635266831
19.831932773109244,112310.45018329516,2.765386269724586
19.831932773109244,121348.27677491431,2.599351706637632
19.831932773109244,131113.3937421563,2.4432859050366527
19.831932773109244,141664.3274669022,2.2965903377010695
19.831932773109244,153064.31405563594,2.158702413151601
19.831932773109244,165381.6783395673,2.029093318058324
19.831932773109244,178690.24337358287,1.9072659891911619
19.831932773109244,193069.77288832495,1.7927532071350412
19.831932773109244,208606.44934719568,1.6851158044589043
19.831932773109244,225393.39047347888,1.5839409814667733
19.831932773109244,243531.20734334175,1.488840723071567
